Protein_Id	GO:1990234	GO:1903561	GO:0005740	GO:0070013	GO:0005789
Q9BSH5	0	0	0	1	0
P12644	0	0	0	1	0
P31268	0	0	0	1	0
Q9UKR5	0	0	0	0	1
P46108	0	1	0	0	0
Q68CZ6	0	0	0	1	0
O14966	0	1	0	0	0
Q8IWX5	0	0	0	0	1
Q5VT66	0	0	1	0	0
Q15642	0	1	0	1	0
P05997	0	0	0	1	0
Q9NUT2	0	0	1	1	0
Q6ZS17	0	1	0	0	0
Q9H5Z6	0	0	0	1	0
O60341	0	0	0	1	0
Q15544	1	0	0	1	0
Q13286	0	0	0	0	1
Q15155	0	0	0	0	1
Q4U2R6	0	0	1	1	0
Q01130	0	0	0	1	0
Q86WA9	0	1	0	1	0
Q13200	0	1	0	1	0
Q9UN37	0	1	0	0	0
Q9NS39	0	0	0	1	0
O14924	0	0	0	1	0
Q9H6F2	0	1	0	0	1
Q8NBJ7	0	0	0	1	0
Q2M1V0	0	0	0	1	0
Q99983	0	1	0	1	0
O75911	0	0	0	0	1
Q9UHI7	0	1	0	0	0
O95639	0	0	0	1	0
Q8IUL8	0	1	0	0	0
P26572	0	1	0	0	0
Q9HBE1	0	0	0	1	0
Q02577	0	0	0	1	0
Q00005	0	0	1	0	0
Q8WXF1	0	0	0	1	0
Q9H082	0	0	0	1	0
P55072	0	1	0	1	1
P50548	0	0	0	1	0
Q9H4M9	0	1	0	0	0
Q00978	0	0	0	1	0
P63244	0	1	0	1	0
Q9UPS6	1	0	0	1	0
O15511	0	1	0	1	0
Q9BXF9	0	1	0	0	0
Q9H2C2	0	0	0	0	1
Q05655	0	1	0	1	0
Q9UKD2	0	0	0	1	0
P13796	0	1	0	0	0
A0PJK1	0	1	0	0	0
Q03164	1	0	0	1	0
Q96JD6	0	0	0	1	0
Q05513	0	1	0	0	0
Q9H4S2	0	0	0	1	0
Q9Y4C8	0	0	0	1	0
P62854	0	1	0	1	1
Q9ULK4	0	0	0	1	0
Q1KMD3	0	0	0	1	0
Q96D53	0	0	1	0	0
Q8N6I1	0	0	0	1	0
P35237	0	1	0	0	0
P98179	0	0	0	1	0
Q9UHL4	0	1	0	1	0
Q5BKZ1	0	0	0	1	0
Q8NBR6	0	0	0	1	0
Q13084	0	0	1	1	0
Q9Y673	0	0	0	0	1
O43567	0	0	0	1	0
P30405	0	0	1	0	0
Q15916	0	0	0	1	0
Q9H0B8	0	1	0	1	0
P45954	0	0	0	1	0
P12956	0	0	0	1	0
P50591	0	1	0	0	0
Q06033	0	1	0	1	0
P55895	0	0	0	1	0
O60784	0	1	0	0	0
Q9HCN3	0	1	0	0	0
Q6NTF9	1	0	0	1	1
Q8N1G1	0	0	0	1	0
Q8N6N3	0	0	0	1	0
Q9Y3Z3	0	0	0	1	0
P38646	0	1	0	1	0
P35749	0	1	0	0	0
Q13585	0	0	0	1	0
P04424	0	1	0	0	0
Q13561	0	1	0	0	0
Q9HAV7	0	0	1	1	0
P11586	0	1	0	0	0
O75541	0	0	0	1	0
Q9HBJ8	0	1	0	0	0
P52926	0	0	0	1	0
Q99081	0	0	0	1	0
P99999	0	0	1	1	0
Q86X67	0	0	0	1	0
P50222	0	0	0	1	0
Q8NEA5	0	1	0	0	0
P28482	0	0	0	1	0
Q86WX3	0	0	0	1	0
P05108	0	0	1	1	0
Q9P2Y5	1	0	0	0	0
O43143	0	0	0	1	0
P50219	0	0	0	1	0
P78540	0	0	0	1	0
Q15269	0	0	0	1	0
Q9NW64	0	0	0	1	0
Q8TB36	0	0	1	0	0
Q6P9B6	0	0	0	1	0
Q9UI43	0	0	0	1	0
Q9Y2Y0	0	0	1	1	0
Q9H903	0	0	0	1	0
Q96DI7	0	0	0	1	0
O43915	0	0	0	1	0
A0FGR8	0	0	0	0	1
Q8WW01	0	0	0	1	0
P09430	0	0	0	1	0
P23409	0	0	0	1	0
Q5JVS0	0	0	0	1	0
P40939	0	0	1	1	0
O00602	0	0	0	1	0
P35269	1	0	0	1	0
Q9H444	0	1	0	0	0
Q6IPU0	0	0	0	1	0
Q02040	0	0	0	1	0
Q8N140	1	0	0	1	0
P41595	0	0	0	1	0
O15541	0	0	0	1	0
Q86VN1	0	1	0	0	0
P55259	0	1	0	0	0
Q9GZS3	1	0	0	1	0
Q9UJS0	0	0	1	0	0
P08651	0	0	0	1	0
Q9NRR4	0	0	0	1	0
Q9H204	0	0	0	1	0
Q8TEY5	0	0	0	1	0
P50583	0	0	0	1	0
Q8IUF8	0	0	0	1	0
Q8NCM8	0	1	0	0	0
Q15006	0	0	0	0	1
Q6P4R8	0	0	0	1	0
Q5SXM8	0	0	0	1	0
P09629	0	0	0	1	0
O60765	0	0	0	1	0
P62877	1	0	0	1	0
P26010	0	1	0	0	0
Q6W4X9	0	0	0	1	0
P04180	0	1	0	0	0
P80511	0	0	0	1	0
Q9Y6M9	0	0	1	0	0
Q3SYC2	0	0	0	0	1
Q6ZQN7	0	1	0	0	0
Q96A47	0	0	0	1	0
Q8NHY2	1	0	0	1	0
O43313	0	0	0	1	0
Q8WWL7	1	0	0	1	0
Q641Q3	0	1	0	0	0
Q9BV10	0	0	0	0	1
P52951	0	0	0	1	0
P82933	0	0	1	1	0
P37287	1	0	0	0	1
Q14653	0	0	0	1	0
Q9Y603	0	0	0	1	0
Q8TBF2	0	1	0	0	0
P50150	0	1	0	0	0
Q9NXF8	0	0	0	1	0
Q92973	0	1	0	0	0
P01033	0	1	0	1	0
Q96RI1	0	0	0	1	0
P21549	0	0	0	1	0
Q07020	0	0	0	1	0
O60337	1	0	0	0	1
Q86SQ9	1	0	0	0	1
Q13418	0	0	0	1	0
Q6U7Q0	0	0	0	1	0
P49591	0	1	0	0	0
O94842	0	0	0	1	0
Q00653	0	0	0	1	0
Q9ULB1	0	0	0	1	0
Q9P2G9	1	0	0	1	0
Q7L7L0	0	1	0	1	0
O43929	0	0	0	1	0
O43809	0	0	0	1	0
Q13164	0	0	0	1	0
Q8NBF2	0	0	0	1	0
P62820	0	1	0	0	0
Q5FBB7	0	0	0	1	0
Q8NAP8	0	0	0	1	0
P55347	0	0	0	1	0
P07195	0	1	0	0	0
Q16666	0	0	0	1	0
O96009	0	1	0	1	0
Q9Y5P4	0	0	0	1	1
P08514	0	1	0	0	0
Q15758	0	1	0	0	0
Q9Y315	0	0	0	1	0
Q9NSD5	0	1	0	0	0
P05412	0	0	0	1	0
Q8N1G2	0	0	0	1	0
O76013	0	1	0	0	0
Q8WYQ3	0	0	1	1	0
Q6ZSZ5	0	1	0	0	0
O00187	0	1	0	0	0
P08833	0	0	0	1	0
Q8NG31	0	0	0	1	0
Q9BWJ5	0	0	0	1	0
P02751	0	1	0	1	0
Q9H8E8	1	0	0	1	0
Q8IYX1	0	1	0	0	0
Q9UM47	0	0	0	1	1
Q9UMX5	0	0	0	1	0
Q7L3S4	0	0	0	1	0
Q86XE5	0	0	0	1	0
O95218	0	0	0	1	0
Q8NES3	0	1	0	0	0
Q9NZ01	0	0	0	0	1
Q9Y679	1	1	0	0	1
P55291	0	1	0	0	0
Q9H1Y0	1	0	0	0	0
Q01813	1	1	0	0	0
Q14738	0	0	0	1	0
P62306	1	0	0	1	0
P04839	0	0	0	0	1
Q96SA4	0	1	0	0	0
Q15041	0	0	0	0	1
Q14140	0	0	0	1	0
P20839	0	0	0	1	0
O00299	0	1	0	0	0
P78362	0	0	0	1	0
Q68CQ4	0	0	0	1	0
Q7L9L4	0	1	0	1	0
Q96BS2	0	0	0	1	0
Q2M389	0	0	0	1	0
P02792	0	1	0	1	0
Q13112	0	0	0	1	0
P15309	0	1	0	0	0
P84090	1	0	0	0	0
P11274	0	1	0	0	0
P49588	0	1	0	0	0
Q00444	0	0	0	1	0
Q9BTP6	0	0	0	1	0
Q9NZ43	0	0	0	0	1
Q8N357	0	1	0	1	0
O60806	0	0	0	1	0
P01911	0	1	0	0	0
P46736	1	0	0	1	0
Q96DG6	0	1	0	0	0
Q9Y5Y7	0	1	0	0	0
P18615	0	0	0	1	0
P61513	0	1	0	0	0
Q5VW38	0	0	0	1	0
P06454	0	0	0	1	0
Q9Y6K0	0	0	0	0	1
P17612	0	1	0	1	0
Q16864	0	1	0	0	0
Q8TDR2	0	0	0	1	0
Q9HBU6	0	0	0	1	0
Q9HCJ0	0	0	0	1	0
Q8N2K1	1	0	0	0	1
Q9BUL5	0	0	0	1	0
Q8WVK2	0	0	0	1	0
Q6ZMP0	0	1	0	0	0
P61218	1	0	0	1	0
Q9NZL9	1	1	0	0	0
Q92824	0	0	0	1	0
Q53GQ0	0	0	0	0	1
Q13435	0	0	0	1	0
P23497	0	0	0	1	0
Q9UL12	0	0	0	1	0
P02786	0	1	0	0	0
P09622	1	0	0	1	0
P02768	0	1	0	1	0
P54257	0	0	0	1	0
Q9H553	0	0	0	0	1
Q9BWF3	0	0	0	1	0
Q8N138	1	0	0	0	1
Q9H0S4	0	0	0	1	0
Q9NY33	0	1	0	0	0
P08195	0	1	0	1	0
P43351	0	0	0	1	0
P01133	0	1	0	1	0
P50749	0	0	0	1	0
Q9NX70	0	0	0	1	0
Q5THR3	0	0	0	1	0
Q9UJZ1	0	0	1	1	0
Q8IWX8	0	0	0	1	1
Q7RTV3	0	0	0	1	0
Q9HA82	0	0	0	0	1
Q86XE3	0	0	1	0	0
Q5QGS0	0	0	0	1	0
P11142	0	1	0	1	0
P13645	0	1	0	0	0
P67936	0	1	0	0	0
P16220	0	0	0	1	0
O75616	0	0	0	1	0
Q86US8	0	0	0	1	0
Q6UWF7	0	1	0	0	0
Q8NDQ6	0	0	0	1	0
Q9P0Z9	0	0	0	1	0
Q9Y653	0	1	0	0	0
P40306	0	0	0	1	0
P15529	0	1	0	0	0
Q2M2I5	0	1	0	0	0
P12271	0	0	0	1	0
P68133	0	1	0	0	0
P52429	0	0	0	1	0
Q96KN3	0	0	0	1	0
P52907	0	1	0	0	0
Q14683	0	0	0	1	0
O15528	0	0	1	0	0
O14802	1	0	0	1	0
Q14254	0	1	0	0	0
O95865	0	1	0	0	0
Q16655	0	0	0	0	1
P21810	0	1	0	1	0
Q86WJ1	0	0	0	1	0
Q99747	0	1	0	0	0
O43493	0	0	0	1	0
O75952	0	0	0	1	0
A6NJ46	0	0	0	1	0
Q13885	0	1	0	0	0
Q00056	0	0	0	1	0
Q9NYV6	0	0	0	1	0
Q9UIG0	0	0	0	1	0
Q6R2W3	0	0	0	1	0
Q9UQB8	0	1	0	1	0
Q9NQ79	0	1	0	0	0
P05981	0	1	0	0	1
Q9H361	0	1	0	0	0
O95125	0	0	0	1	0
P49916	0	0	0	1	0
Q07666	0	0	0	1	0
P21453	0	0	0	1	0
Q9NPF8	0	0	1	0	0
Q8NBJ4	0	0	0	1	0
Q10570	0	0	0	1	0
Q8TAD8	0	0	0	1	0
Q8IUZ5	0	0	0	1	0
Q00403	1	0	0	1	0
P20339	0	1	0	0	0
Q9UKL0	0	0	0	1	0
Q6PI25	0	0	0	0	1
Q14392	0	0	0	1	0
Q9UKA4	0	0	0	1	0
O00322	0	1	0	0	0
Q6PK04	0	0	0	1	0
Q86UD5	0	0	1	0	0
Q9NQQ7	0	0	0	1	0
Q9Y446	0	0	0	1	0
P21695	0	1	0	0	0
Q9H6Y2	0	0	0	1	0
Q8TE85	0	0	0	1	0
P29083	1	0	0	1	0
Q86TG7	0	0	0	1	0
Q8IV36	0	1	0	0	0
Q15382	0	1	0	0	0
O75352	0	0	0	0	1
O95178	0	0	1	0	0
Q99551	0	0	0	1	0
O43731	0	0	0	0	1
Q04206	0	0	0	1	0
O95707	0	0	0	1	0
P51692	0	0	0	1	0
P48380	0	0	0	1	0
P29400	0	0	0	1	0
Q86XF0	0	0	1	1	0
P62987	0	1	1	1	1
Q15013	0	0	0	1	0
Q9BVC3	0	0	0	1	0
P53539	0	0	0	1	0
O00273	0	0	0	1	0
Q9BT30	0	0	0	1	0
Q9H313	0	0	0	0	1
Q13131	1	0	0	1	0
Q9UI33	0	1	0	0	0
P31260	0	0	0	1	0
O75489	0	0	1	1	0
Q8N2M8	0	0	0	1	0
P52747	0	0	0	1	0
Q9NXH8	0	0	0	1	0
P57081	1	0	0	1	0
O75608	0	1	0	0	0
O15265	0	0	0	1	0
Q9Y5Q5	0	0	0	1	0
P02774	0	1	0	1	0
Q99519	0	1	0	1	0
Q5XKR4	0	0	0	1	0
P46934	1	1	0	0	0
Q53H80	0	0	0	1	0
P09874	0	0	0	1	0
O95858	0	0	0	1	0
P47755	0	1	0	0	0
P43490	0	1	0	1	0
Q6UX01	0	0	0	0	1
Q70SY1	0	0	0	1	0
O75928	0	0	0	1	0
O43711	0	0	0	1	0
P61457	0	1	0	1	0
Q92878	0	0	0	1	0
P02766	0	1	0	1	0
P59998	0	1	0	0	0
P49760	0	0	0	1	0
Q9P1Y5	0	0	0	1	0
Q14151	0	1	0	1	0
Q96RN5	0	0	0	1	0
Q15717	0	0	0	1	0
Q14571	0	0	0	1	1
Q6NW34	0	0	0	1	0
Q86TU7	0	0	0	1	0
P20813	0	0	0	0	1
P01730	0	0	0	0	1
O60393	0	0	0	1	0
P17302	0	0	0	1	1
Q9BZE0	0	0	0	1	0
O15144	0	1	0	0	0
Q96EY4	0	0	0	1	0
Q96BK5	0	0	0	1	0
Q9NS93	0	1	0	0	0
Q96ES7	1	0	0	1	0
Q3YBR2	0	0	0	1	0
Q6UX73	0	1	0	0	0
O60318	0	0	0	1	0
Q86W56	0	0	0	1	0
Q96S90	0	0	0	1	0
Q5T3J3	0	0	0	1	0
P13942	0	0	0	1	0
Q14894	0	1	0	1	0
P35573	0	0	0	1	0
P15144	0	1	0	0	0
Q9Y3C8	0	1	0	0	0
P02749	0	1	0	1	0
Q969X5	0	0	0	1	1
Q96GF1	0	0	0	0	1
P61923	0	0	0	0	1
P14550	0	1	0	0	0
Q96JB6	0	1	0	0	0
Q8WWT9	0	1	0	0	0
Q9BZZ5	0	0	0	1	0
Q06418	0	0	0	0	1
Q9P2I0	0	0	0	1	0
O75807	0	0	0	0	1
Q9H0F7	0	1	0	0	0
Q96QU8	0	0	0	1	0
Q96JN0	0	0	0	1	0
Q13951	0	0	0	1	0
P13688	0	1	0	0	0
Q8NHM5	0	0	0	1	0
Q8N2G8	0	0	0	1	0
Q99547	0	0	0	1	0
P41225	0	0	0	1	0
Q502W6	0	0	0	1	0
O00592	0	1	0	1	0
Q9UID6	0	0	0	1	0
Q9Y256	0	0	0	0	1
P22612	0	0	0	1	0
A4FU01	0	1	0	0	0
Q86Z02	0	0	0	1	0
P53597	0	0	0	1	0
P23511	0	0	0	1	0
Q9H2C1	0	0	0	1	0
P21964	0	1	0	0	0
Q9H9H4	0	1	0	0	0
Q6DJT9	0	0	0	1	0
P62241	0	1	0	1	0
O60256	1	0	0	0	0
Q9BZF9	0	1	0	1	0
Q9NWU5	0	0	1	1	0
P33992	0	0	0	1	0
Q96S44	0	0	0	1	0
Q92665	0	0	1	1	0
P63220	0	0	0	1	0
Q9H295	0	0	0	0	1
P09630	0	0	0	1	0
O43677	0	0	1	0	0
Q9NR30	0	0	0	1	0
P56179	0	0	0	1	0
Q8NDX6	0	0	0	1	0
P01024	0	1	0	1	0
Q92830	1	0	0	1	0
Q9UNH5	0	0	0	1	0
Q96JB5	0	0	0	1	0
Q9P031	0	0	0	1	0
Q9H7S9	0	0	0	1	0
P15428	0	1	0	1	0
P51398	0	0	1	1	0
O15303	0	0	0	0	1
O15162	0	1	0	1	0
P28676	0	1	0	1	0
P07305	0	0	0	1	0
P15927	0	0	0	1	0
Q99643	0	0	1	0	0
P11166	0	1	0	0	0
Q9H7H0	0	0	0	1	0
Q9Y6X3	0	0	0	1	0
P25054	0	0	0	1	0
O15304	0	0	0	1	0
P06132	0	0	0	1	0
Q92802	0	1	0	0	0
Q86UX7	0	1	0	1	0
Q13868	0	0	0	1	0
Q24JP5	0	1	0	1	0
Q969M3	0	0	0	1	0
P55081	0	0	0	1	0
Q7L590	0	0	0	1	0
P55017	0	1	0	0	0
Q6PCB7	0	0	1	0	0
P83731	0	1	0	0	0
Q9UGM5	0	1	0	0	0
Q9NR56	0	0	0	1	0
P32314	0	0	0	1	0
P12270	0	0	0	1	0
Q9BRF8	0	0	0	1	0
Q7Z4V0	0	0	0	1	0
Q6AI39	0	0	0	1	0
Q9P015	0	0	1	1	0
Q9BQA5	0	0	0	1	0
Q7RTS7	0	1	0	0	0
P07492	0	0	0	1	0
P35228	0	0	0	1	0
Q96EG1	0	0	0	1	0
P62304	1	0	0	1	0
Q96SR6	0	0	0	1	0
O00570	0	0	0	1	0
Q96NW7	0	0	0	1	0
P0DPB6	1	0	0	1	0
Q4LE39	0	0	0	1	0
Q14202	0	0	0	1	0
Q8N488	0	0	0	1	0
Q9NZI8	0	0	0	1	0
Q8TAX7	0	1	0	1	0
Q9Y4A8	0	0	0	1	0
Q86UW9	0	0	0	1	0
Q969V6	0	0	0	1	0
Q96EU6	0	0	0	1	0
Q6IQ16	1	0	0	0	0
Q9UHE5	0	0	0	0	1
Q8NFW1	0	0	0	1	0
Q96JM3	0	0	0	1	0
Q6Y288	0	0	0	0	1
P01229	0	0	0	1	0
Q02790	0	1	0	1	0
O15244	0	1	0	0	0
Q9BU76	0	0	0	1	0
Q8NB15	0	0	0	1	0
P29401	0	1	0	1	0
P19419	0	0	0	1	0
Q9NVH2	0	0	0	1	0
Q8IUY3	0	0	0	0	1
Q93033	0	1	0	0	0
Q9C0F3	0	0	0	1	0
Q8N5B7	0	0	0	0	1
P47902	0	0	0	1	0
Q9BSU3	1	0	0	1	0
P08582	0	1	0	1	0
P61009	0	0	0	0	1
Q9HAU4	1	0	0	1	0
Q02978	0	0	1	0	0
P38606	0	1	0	0	0
Q92769	1	0	0	0	0
Q96KQ4	0	0	0	1	0
P46091	0	0	0	1	0
Q9BRC7	0	0	0	0	1
Q15788	0	0	0	1	0
Q9H0M0	1	1	0	0	0
Q13217	0	1	0	1	0
O60271	0	1	0	0	0
Q9H0W5	0	0	0	1	0
Q9BYF1	0	1	0	0	0
Q9NS37	0	0	0	1	0
P07738	0	1	0	0	0
P05165	0	0	0	1	0
Q14807	0	0	0	1	0
Q9UQ84	0	0	0	1	0
P82675	0	0	1	1	0
Q9NQ38	0	0	0	0	1
P01906	0	0	0	0	1
Q7Z5J4	0	0	0	1	0
Q9NPG4	0	1	0	0	0
Q9H1K1	0	0	0	1	0
P25787	0	1	0	1	0
Q9NYQ3	0	0	0	1	0
Q86U42	0	0	0	1	0
P05937	0	1	0	0	0
Q96HD9	0	1	0	0	0
O43155	0	1	0	0	0
Q6PJQ5	0	0	0	1	0
P51965	1	0	0	1	0
P28715	0	0	0	1	0
P22307	0	0	0	1	0
P38432	0	0	0	1	0
Q96B02	0	0	0	1	0
Q96DR5	0	1	0	0	0
Q9BZV1	0	1	0	0	0
P10635	0	0	0	0	1
Q9UIQ6	0	0	0	1	0
Q96GD4	0	0	0	1	0
Q8IYU2	0	0	0	1	0
P55011	0	1	0	0	0
Q8N5N7	0	0	1	1	0
Q8N6M3	0	0	0	0	1
P54105	1	0	0	1	0
P61026	0	1	0	0	1
O95847	0	0	1	0	0
P52630	0	0	0	1	0
P01106	0	0	0	1	0
Q9UHJ3	0	0	0	1	0
Q6T310	0	0	0	1	0
P18065	0	1	0	0	0
P49765	0	0	0	1	0
Q99466	0	0	0	1	1
P14652	0	0	0	1	0
P49221	0	1	0	0	0
P23219	0	1	0	0	1
Q9NX46	0	0	0	1	0
O60902	0	0	0	1	0
P25490	0	0	0	1	0
Q6T4R5	0	0	0	1	0
P20062	0	0	0	1	0
Q04721	0	0	0	1	1
Q5GLZ8	0	0	0	1	0
O15118	0	1	0	0	0
O00506	0	1	0	0	0
P42785	0	1	0	0	0
P41208	0	0	0	1	0
Q7L5N1	0	0	0	1	0
P02533	0	1	0	0	0
Q9H9Q2	0	0	0	1	0
Q9UM21	0	1	0	1	0
O14967	0	0	0	0	1
Q14161	0	0	0	1	0
Q9UBG7	0	0	0	1	0
Q9UH77	1	0	0	0	0
O75190	0	0	0	1	0
Q14767	0	1	0	0	0
Q96BT7	0	0	0	1	0
Q04726	0	0	0	1	0
Q9H7L9	0	0	0	1	0
O15014	0	0	0	1	0
P26447	0	1	0	0	0
Q8IVP5	0	0	1	0	0
P04217	0	1	0	1	0
P17275	0	0	0	1	0
Q9BZI7	0	0	0	1	0
Q8WUI4	0	0	0	1	0
Q8N9R8	0	0	0	1	0
O00231	0	0	0	1	0
Q6UWY0	0	0	0	1	0
P07996	0	1	0	1	0
O95475	0	0	0	1	0
Q15853	0	0	0	1	0
Q8TD26	0	0	0	1	0
P35240	0	0	0	1	0
Q8TF66	0	1	0	0	0
Q13263	0	0	0	1	0
O60870	0	0	0	1	0
Q99832	0	1	0	0	0
Q6P9F0	0	0	0	1	0
Q9UI09	0	0	1	0	0
O43933	0	1	0	0	0
P41227	1	0	0	1	0
Q96CN5	0	0	0	1	0
P41240	0	1	0	0	0
O95822	0	0	0	1	0
Q8NCR0	0	0	0	0	1
O43298	0	0	0	1	0
Q96FI4	0	0	0	1	0
Q8IYD8	0	0	0	1	0
Q96RU2	0	0	0	1	0
P51159	0	1	0	1	0
P98160	0	1	0	1	0
Q02487	0	1	0	0	0
Q9Y613	0	0	0	1	0
Q8TAV0	0	0	0	1	0
O15111	1	0	0	1	0
Q7L5Y6	1	0	0	0	0
Q9UHB4	0	0	0	1	0
P01111	0	1	0	0	0
Q9UMR2	0	1	0	0	0
Q08380	0	1	0	1	0
Q9NW08	1	0	0	1	0
O95231	0	0	0	1	0
Q9P2X0	1	0	0	0	1
Q15397	0	0	0	1	0
Q13469	0	0	0	1	0
P47985	0	0	1	0	0
Q3B8N5	0	0	0	1	0
Q9BPZ2	0	0	0	1	0
Q14119	0	0	0	1	0
O43184	0	0	0	1	0
Q6NZI2	0	0	0	1	0
O00754	0	1	0	1	0
P78411	0	0	0	1	0
P55786	0	1	0	0	0
Q86TL2	0	0	0	0	1
Q8IYU8	0	0	1	1	0
P53634	0	1	0	1	0
Q03468	0	0	0	1	0
P50453	0	1	0	1	0
Q8IWE2	0	0	0	1	0
Q9H0A0	0	0	0	1	0
Q9UJA2	0	0	1	0	0
Q9NUN7	0	0	0	0	1
Q9Y2G5	0	0	0	0	1
Q8WZ19	0	0	0	1	0
Q9H6I2	0	0	0	1	0
P57764	0	0	0	1	0
P10153	0	1	0	0	0
Q96DE0	0	0	0	1	0
P22314	0	1	0	1	1
Q01970	0	0	0	1	0
P30533	0	0	0	1	0
Q86X51	0	0	0	1	0
Q96F24	1	0	0	1	0
Q5VSL9	0	1	0	0	0
P09758	0	1	0	0	0
Q86UW7	0	0	0	1	0
Q02297	0	0	0	1	0
Q13901	0	0	0	1	0
P08779	0	1	0	0	0
Q9NW13	0	0	0	1	0
P13647	0	1	0	0	0
Q9H089	0	0	0	1	0
