Protein_Id	GO:0031981	GO:0000228	GO:0070062	GO:0015630	GO:0005768
Q9Y5P4	1	0	0	0	0
O96009	0	0	1	0	1
P08514	0	0	1	0	0
Q15758	0	0	1	0	0
Q9Y315	1	0	0	0	0
Q9NSD5	0	0	1	0	0
P05412	1	1	0	0	0
Q8N1G2	1	0	0	0	0
O76013	0	0	1	0	0
Q9NRM7	0	0	0	1	0
Q6ZSZ5	0	0	1	0	0
O00187	0	0	1	0	0
Q7Z3C6	0	0	0	0	1
Q8NG31	1	0	0	0	0
Q9BWJ5	1	0	0	0	0
P02751	0	0	1	0	0
Q9H8E8	1	0	0	0	0
Q8IYX1	0	0	1	0	0
Q9UM47	1	0	0	0	0
Q9UMX5	1	0	0	0	0
Q7L3S4	1	0	0	0	0
O95218	1	0	0	0	0
Q9Y679	0	0	1	0	0
P55291	0	0	1	0	0
Q01813	0	0	1	0	0
Q14738	1	0	0	0	0
P62306	1	0	0	0	0
Q96SA4	0	0	1	0	0
Q14140	1	0	0	0	0
Q9UHD8	0	0	0	1	0
O00299	0	0	1	0	0
P78362	1	0	0	0	0
Q68CQ4	1	0	0	0	0
Q7L9L4	1	0	1	0	0
Q96BS2	1	0	0	0	0
Q2M389	1	0	0	0	1
P02792	0	0	1	0	0
Q13112	1	1	0	0	0
P15309	0	0	1	0	0
P11274	0	0	1	0	0
P49588	0	0	1	0	0
Q00444	1	1	0	0	0
Q9BTP6	1	1	0	0	0
Q8N357	1	0	1	0	0
Q9BRX9	0	0	0	0	1
O60806	1	1	0	0	0
P01911	0	0	1	0	0
P46736	1	0	0	0	0
Q96DG6	0	0	1	0	0
Q9Y5Y7	0	0	1	0	0
P18615	1	0	0	0	0
Q5VW38	1	0	0	0	0
P61513	0	0	1	0	0
P06454	1	0	0	0	0
P17612	1	0	1	1	0
Q8TDR2	1	0	0	0	0
Q16864	0	0	1	0	0
Q9HBU6	1	0	0	0	0
Q9HCJ0	1	0	0	0	0
Q9BUL5	1	0	0	0	0
Q8WVK2	1	0	0	0	0
Q6ZMP0	0	0	1	0	0
P61218	1	0	0	0	0
Q9NZL9	0	0	1	0	0
Q13435	1	0	0	0	0
P23497	1	1	0	0	0
P02786	0	0	1	0	1
Q8N841	0	0	0	1	0
P09622	1	0	0	0	0
P02768	0	0	1	0	0
P54257	1	0	0	0	0
Q9BWF3	1	0	0	0	0
Q9UPY8	0	0	0	1	0
Q9H0S4	1	0	0	0	0
Q9NY33	0	0	1	0	0
P08195	1	0	1	0	0
P43351	1	0	0	0	0
P01133	0	0	1	0	0
P50749	1	0	0	0	0
Q9NX70	1	0	0	0	0
Q7RTV3	1	0	0	0	0
Q8IWX8	1	0	0	0	0
Q5THR3	1	0	0	0	0
Q5QGS0	1	0	0	1	0
P11142	1	0	1	0	0
P13645	0	0	1	0	0
P67936	0	0	1	0	0
P16220	1	1	0	0	0
Q86US8	1	0	0	0	0
Q8NDQ6	1	0	0	0	0
Q6UWF7	0	0	1	0	0
Q9Y653	0	0	1	0	0
P40306	1	0	0	0	0
P15529	0	0	1	0	0
Q2M2I5	0	0	1	0	0
P12271	1	0	0	1	0
Q96KN3	1	0	0	0	0
P52429	1	0	0	0	0
P68133	0	0	1	0	0
Q14683	1	1	0	1	0
P52907	0	0	1	0	0
O14802	1	0	0	0	0
Q14254	0	0	1	0	1
O95865	0	0	1	1	0
P46821	0	0	0	1	0
O43493	1	0	0	0	1
O75952	1	0	0	0	0
Q86WJ1	1	0	0	0	0
P21810	0	0	1	0	0
Q99747	0	0	1	0	0
A6NJ46	1	1	0	0	0
Q13885	0	0	1	0	0
P11912	0	0	0	0	1
Q00056	1	1	0	0	0
Q9NYV6	1	0	0	0	0
Q9UIG0	1	1	0	0	0
Q6R2W3	1	0	0	0	0
Q9UQB8	1	0	1	0	0
Q9NQ79	0	0	1	0	0
P05981	0	0	1	0	0
Q9H361	0	0	1	0	0
O95125	1	0	0	0	0
P49916	1	0	0	0	0
Q07666	1	0	0	0	0
P21453	1	0	0	0	0
Q10570	1	0	0	0	0
Q8TAD8	1	0	0	0	0
Q00403	1	0	0	0	0
P20339	0	0	1	0	1
Q9UKL0	1	0	0	0	0
Q14392	1	0	0	0	0
Q9UKA4	1	0	0	0	0
O00322	0	0	1	0	0
Q6PK04	1	0	0	0	0
Q9H0A9	0	0	0	1	0
Q9NQQ7	1	0	0	0	0
Q9Y446	1	0	0	0	0
Q9H6Y2	1	0	0	0	0
P21695	0	0	1	0	0
Q8TE85	1	1	0	0	0
Q86TG7	1	0	0	0	0
P29083	1	0	0	0	0
Q8IV36	0	0	1	1	0
Q15382	0	0	1	0	0
Q04206	1	1	0	0	0
O95707	1	0	0	0	0
P51692	1	1	0	0	0
P48380	1	1	0	0	0
Q15013	1	0	0	0	0
P62987	1	0	1	0	1
Q96NA2	0	0	0	0	1
Q9BVC3	1	0	0	0	0
Q9NPF0	0	0	0	0	1
P53539	1	1	0	0	0
O00273	1	1	0	0	0
O75204	0	0	0	0	1
P31260	1	1	0	0	0
Q13131	1	0	0	0	0
Q9UI33	0	0	1	0	0
Q8N2M8	1	0	0	0	0
O75489	1	0	0	0	0
P52747	1	0	0	0	0
O95405	0	0	0	0	1
P57081	1	0	0	0	0
O75608	0	0	1	0	0
O15265	1	0	0	1	0
Q9Y5Q5	1	0	0	0	0
P02774	0	0	1	0	0
Q99519	0	0	1	0	0
Q5XKR4	1	1	0	0	0
P46934	0	0	1	0	0
Q53H80	1	0	0	0	0
P09874	1	1	0	0	0
P47755	0	0	1	0	0
P43490	1	0	1	0	0
Q70SY1	1	1	0	0	0
O75928	1	0	0	0	0
O43711	1	1	0	0	0
P61457	1	0	1	0	0
Q12799	0	0	0	1	0
Q92878	1	1	0	0	0
P02766	0	0	1	0	0
P59998	0	0	1	0	0
P86791	0	0	0	0	1
P49760	1	0	0	0	0
Q9P1Y5	1	0	0	1	0
Q14151	1	0	1	0	0
Q96RN5	1	0	0	0	0
Q15717	1	0	0	0	0
Q14571	1	0	0	0	0
Q6NW34	1	0	0	0	0
Q86TU7	1	1	0	0	0
P01730	0	0	0	0	1
O60393	1	1	0	0	0
P17302	1	0	0	0	0
O75379	0	0	0	0	1
Q9BZE0	1	0	0	0	0
O15144	0	0	1	0	0
Q9C099	0	0	0	1	0
Q96EY4	1	0	0	0	0
Q96BK5	1	1	0	1	0
Q9NS93	0	0	1	0	0
Q7L523	0	0	0	0	1
Q3YBR2	1	0	0	0	0
Q96ES7	1	0	0	0	0
Q6UX73	0	0	1	0	0
O60318	1	0	0	0	0
Q86W56	1	0	0	0	0
Q96S90	1	0	0	0	0
Q5T3J3	1	1	0	1	0
A4D1P6	0	0	0	0	1
Q14894	0	0	1	0	0
P15144	0	0	1	0	0
Q9Y3C8	0	0	1	0	0
P02749	0	0	1	0	0
Q969X5	1	0	0	0	0
P14550	0	0	1	0	0
Q96JB6	0	0	1	0	0
Q8WWT9	0	0	1	0	0
Q9BZZ5	1	0	0	0	0
Q9P2I0	1	0	0	0	0
Q9H0F7	0	0	1	1	0
Q96QU8	1	0	0	0	0
Q96JN0	1	0	0	0	0
Q99437	0	0	0	0	1
Q13951	1	0	0	0	0
P13688	0	0	1	0	0
Q8NHM5	1	0	0	0	0
Q99547	1	0	0	0	0
Q9C0D6	0	0	0	1	0
Q502W6	1	0	0	0	0
P41225	1	1	0	0	0
O00592	1	0	1	1	0
Q9UID6	1	0	0	0	0
P22612	1	0	0	0	0
A4FU01	0	0	1	0	0
Q86Z02	1	0	0	1	0
Q9HC07	0	0	0	0	1
P23511	1	1	0	0	0
Q9H2C1	1	1	0	0	0
P21964	0	0	1	0	0
Q9H9H4	0	0	1	0	1
Q6DJT9	1	0	0	1	0
Q86XR7	0	0	0	0	1
P62241	1	0	1	0	0
Q96M11	0	0	0	1	0
Q9BZF9	1	0	1	0	0
P33992	1	1	0	0	0
Q96S44	1	0	0	0	0
Q92665	1	0	0	0	0
P63220	1	0	0	0	0
Q00013	0	0	0	1	0
Q9H295	0	0	0	0	1
P09630	1	1	0	0	0
Q9NR30	1	0	0	0	0
P56179	1	1	0	0	0
Q8NDX6	1	1	0	0	0
P01024	0	0	1	0	0
Q92830	1	0	0	1	0
Q96JB5	1	0	0	1	0
Q9UNH5	1	0	0	1	0
Q9P031	1	0	0	0	0
Q8N0Z3	0	0	0	1	0
O75084	0	0	0	0	1
Q9H7S9	1	0	0	0	0
P15428	1	0	1	0	0
P51398	1	0	0	0	0
O15162	1	0	1	0	0
P28676	0	0	1	0	0
P07305	1	1	0	0	0
P15927	1	1	0	0	0
O15126	0	0	0	0	1
P11166	0	0	1	0	0
Q9H7H0	1	0	0	0	0
Q9Y6X3	1	0	0	0	0
P25054	1	0	0	1	0
O15304	1	0	0	0	0
Q06416	0	1	0	0	0
P06132	1	0	0	0	0
Q92802	0	0	1	0	0
Q86UX7	0	0	1	0	0
P54764	0	0	0	0	1
Q13868	1	0	0	0	0
Q24JP5	0	0	1	0	0
Q969M3	1	0	0	0	0
O15498	0	0	0	0	1
P55081	1	0	0	1	0
Q7L590	1	1	0	0	0
P55017	0	0	1	0	0
P83731	0	0	1	0	0
Q9UGM5	0	0	1	0	0
Q9NR56	1	0	0	0	0
P32314	1	1	0	0	0
P12270	1	0	0	1	0
Q7Z4V0	1	0	0	0	0
Q6AI39	1	1	0	0	0
Q15468	0	0	0	1	0
Q9BQA5	1	0	0	0	0
Q7RTS7	0	0	1	0	0
P62304	1	0	0	0	0
Q96SR6	1	0	0	0	0
O00570	1	1	0	0	0
Q96NW7	1	0	0	1	0
Q4LE39	1	0	0	0	0
P0DPB6	1	0	0	0	0
Q14202	1	0	0	0	0
Q8N488	1	0	0	0	0
Q9NZI8	1	0	0	0	0
Q8TAX7	0	0	1	0	0
Q9Y4A8	1	1	0	0	0
Q86UW9	1	0	0	0	0
Q969V6	1	0	0	0	0
Q96EU6	1	0	0	0	0
Q96JM3	1	0	0	1	0
Q02790	1	0	1	0	0
Q2KJY2	0	0	0	1	0
O15244	0	0	1	0	0
Q8NB15	1	1	0	0	0
P29401	1	0	1	0	0
P19419	1	1	0	0	0
Q9NVH2	1	0	0	0	0
Q9C0F3	1	0	0	0	0
Q93033	0	0	1	0	0
P47902	1	1	0	0	0
Q9BSU3	1	0	0	1	0
P08582	0	0	1	0	0
Q9HAU4	1	0	0	0	0
P38606	0	0	1	0	0
Q96KQ4	1	0	0	0	0
P46091	1	0	0	0	0
Q15788	1	1	0	0	0
Q9H0M0	0	0	1	0	0
Q13217	0	0	1	0	0
O60271	0	0	1	1	0
Q9H0W5	1	0	0	1	0
Q9NS37	1	1	0	0	0
Q9BYF1	0	0	1	0	0
P07738	0	0	1	0	0
Q14807	1	0	0	1	0
Q9UQ84	1	0	0	0	0
Q7Z5J4	1	0	0	0	0
Q9NPG4	0	0	1	0	0
P25787	1	0	1	0	0
Q86U42	1	0	0	0	0
Q6PJQ5	1	0	0	0	0
Q96HD9	0	0	1	0	0
O43155	0	0	1	0	0
P05937	0	0	1	0	0
P51965	1	0	0	0	0
P28715	1	1	0	0	0
P22307	1	0	0	0	0
P38432	1	0	0	0	0
Q96B02	1	0	0	0	0
Q96DR5	0	0	1	0	0
Q9BZV1	0	0	1	0	1
Q9UIQ6	0	0	0	0	1
Q96GD4	1	1	0	1	0
Q8IYU2	1	0	0	0	0
P55011	0	0	1	0	0
P54105	1	0	0	0	0
P61026	0	0	1	0	1
Q9P219	0	0	0	1	0
P52630	1	1	0	0	0
P01106	1	1	0	0	0
Q9UHJ3	1	0	0	0	0
Q6T310	1	0	0	0	0
P18065	0	0	1	0	0
Q99466	1	0	0	0	0
P14652	1	1	0	0	0
P49221	0	0	1	0	0
Q8WVJ2	0	0	0	1	0
Q9NX46	1	0	0	0	0
O60902	1	1	0	0	0
P23219	0	0	1	0	0
Q9BYG8	0	0	0	1	0
P25490	1	1	0	0	0
Q6ZU80	0	0	0	1	0
Q6T4R5	1	0	0	0	0
P20062	0	0	0	0	1
Q04721	1	0	0	0	0
Q5GLZ8	1	0	0	0	0
O15118	0	0	1	0	0
O00506	0	0	1	0	0
P42785	0	0	1	0	0
P41208	1	0	0	1	0
Q9BZQ2	0	0	0	1	0
Q7L5N1	1	0	0	0	0
P02533	0	0	1	0	0
Q9H9Q2	1	0	0	0	0
Q02833	0	0	0	1	0
Q9UM21	0	0	1	0	0
Q14161	1	0	0	0	0
Q9UBG7	1	1	0	0	0
O75190	1	0	0	0	0
Q14767	0	0	1	0	0
Q96BT7	1	0	0	0	0
Q04726	1	0	0	0	0
Q9H7L9	1	1	0	0	0
O15014	1	0	0	0	0
P26447	0	0	1	0	0
P17275	1	1	0	0	0
Q8WUI4	1	0	0	0	0
Q9BZI7	1	0	0	1	0
P04217	0	0	1	0	0
Q8N9R8	1	0	0	0	0
O00231	1	0	0	0	0
P07996	0	0	1	0	0
Q96M63	0	0	0	1	0
O95475	1	1	0	0	0
Q15853	1	1	0	0	0
Q8TD26	1	0	0	0	0
P35240	1	0	0	0	1
Q5VU43	0	0	0	1	0
Q8TF66	0	0	1	0	0
Q13263	1	0	0	0	0
O60870	1	0	0	0	0
Q99832	0	0	1	1	0
Q6P9F0	1	0	0	0	0
O43933	0	0	1	0	0
P41227	1	0	0	0	0
Q96CN5	1	0	0	1	0
P41240	0	0	1	0	0
O43298	1	1	0	0	0
Q96FI4	1	0	0	0	0
Q8IYD8	1	0	0	0	0
Q96RU2	1	0	0	0	0
P51159	0	0	1	0	1
P98160	0	0	1	0	0
Q02487	0	0	1	0	0
Q9Y613	1	0	0	0	0
Q8TAV0	1	0	0	0	0
O15111	1	0	0	0	0
Q9UHB4	1	0	0	0	0
P01111	0	0	1	0	0
Q9UMR2	0	0	1	0	0
Q08380	0	0	1	0	0
Q9NW08	1	0	0	0	0
O95231	1	1	0	0	0
Q15397	1	0	0	0	0
Q13469	1	1	0	0	0
Q3B8N5	1	1	0	0	0
Q9BPZ2	1	0	0	0	0
Q14119	1	0	0	0	0
O43184	1	0	0	0	0
Q6NZI2	1	0	0	0	0
O00754	0	0	1	0	0
P78411	1	1	0	0	0
P55786	0	0	1	0	0
P53634	1	0	1	1	0
Q03468	1	0	0	0	0
P50453	1	0	1	0	0
Q9H0A0	1	1	0	0	0
Q8IWE2	1	0	0	0	0
Q8WZ19	1	0	0	0	0
Q9H6I2	1	1	0	0	0
Q9NYA4	0	0	0	0	1
P57764	1	0	0	0	0
Q96DE0	1	0	0	0	0
P10153	0	0	1	0	0
A7E2U8	0	0	0	1	0
P22314	1	0	1	0	1
Q01970	1	0	0	0	0
P30533	0	0	0	0	1
Q86X51	1	0	0	0	0
Q96F24	1	0	0	0	0
Q5VSL9	0	0	1	0	0
P63010	0	0	0	0	1
P09758	0	0	1	0	0
Q86UW7	1	0	0	0	0
Q02297	1	0	0	0	0
Q13901	1	0	0	0	0
P08779	0	0	1	0	0
Q9NW13	1	0	0	0	0
P13647	0	0	1	0	0
Q9H089	1	0	0	0	0
Q99549	1	1	0	0	0
P37231	1	1	0	0	0
Q14103	1	0	0	0	0
Q9Y2V3	1	1	0	0	0
P30048	0	0	0	0	1
P36776	1	0	0	0	0
Q9BV47	1	0	1	0	0
Q6IAA8	0	0	1	0	1
O43895	0	0	1	0	0
Q01101	1	0	0	0	0
P49810	0	0	0	1	0
P54132	1	1	0	0	0
Q86T03	1	0	0	0	1
Q15334	0	0	0	0	1
Q05193	1	0	1	0	0
P02511	1	0	1	0	0
Q16559	1	1	0	0	0
Q15327	1	0	0	0	0
Q10588	0	0	1	0	0
P29144	1	0	0	0	0
Q8TDL5	0	0	1	0	0
Q5M775	1	0	0	1	0
Q9Y3A5	1	0	0	1	0
Q86T24	1	1	0	0	0
Q96IQ9	1	1	0	0	0
Q9H9G7	1	0	0	0	0
P11055	0	0	1	0	0
Q93063	0	0	1	0	0
Q3V6T2	0	0	0	1	0
P02008	0	0	1	0	0
Q86YS3	0	0	0	1	1
Q12950	1	1	0	0	0
Q96FN5	0	0	1	1	0
Q32P28	0	0	1	0	0
O43505	0	0	1	0	0
Q16787	0	0	1	0	0
P05198	0	0	1	0	0
Q9NZI5	1	1	0	0	0
Q9Y6B2	1	0	0	0	0
Q658L1	0	0	0	1	0
Q9UKK6	1	0	0	0	0
Q13508	0	0	1	0	0
Q14541	1	1	0	1	0
Q8IZU1	1	1	0	0	0
Q52LR7	1	0	0	0	0
Q16630	1	1	0	0	0
Q8WXI4	0	0	1	0	0
Q9UJX4	1	0	0	0	0
Q9UK39	1	0	0	0	0
Q13637	0	0	0	0	1
H0YL14	1	0	0	1	0
O15079	0	0	0	1	0
P19823	0	0	1	0	0
Q8N9S9	0	0	0	0	1
P61371	1	1	0	0	0
P51148	0	0	1	0	1
P78414	1	1	0	0	0
P42338	1	0	0	0	0
Q13347	0	0	1	0	0
Q9UG01	0	0	0	1	0
Q8WUB8	1	1	0	0	0
O75629	0	0	1	0	0
P38398	1	1	0	1	0
Q96AP0	1	1	0	0	0
Q9BX46	1	0	0	0	0
O96019	1	1	0	0	0
Q96LK0	0	0	0	1	0
Q9BRA0	1	0	0	0	0
Q14209	1	1	0	0	0
Q9H270	0	0	0	0	1
Q9P287	1	0	0	1	0
P20138	1	0	0	0	0
Q5TB80	0	0	0	1	0
Q92793	1	1	0	0	0
Q92613	1	0	0	0	0
P25325	0	0	1	0	0
P14735	0	0	1	0	0
Q96M93	1	0	0	0	0
Q9NZC9	1	1	0	0	0
O75830	0	0	1	0	0
Q6P1N0	1	0	1	0	0
O43805	0	0	0	1	0
Q9Y255	1	0	0	0	0
Q15427	1	0	0	0	0
Q9Y6A5	0	0	0	1	0
Q9BPX5	0	0	1	0	0
O00212	0	0	0	0	1
