,ensg_id,description,category,logtpm_mean,logtpm_std,stratified_level
55,ENSG00000004766,coiled-coil domain containing 132,Expressed in all tissues,4.178210129284387,0.6608487271698881,4
58,ENSG00000004779,"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa",Expressed in all tissues,6.648529386466912,0.709498624470003,6
65,ENSG00000004866,suppression of tumorigenicity 7,Expressed in all tissues,4.995927441354538,0.5426126532812366,4
69,ENSG00000004961,holocytochrome c synthase,Expressed in all tissues,4.921304358165471,0.6251910064028192,4
70,ENSG00000004975,dishevelled segment polarity protein 2,Expressed in all tissues,4.970422164501615,0.6954583982331961,4
72,ENSG00000005007,UPF1 regulator of nonsense transcripts homolog (yeast),Expressed in all tissues,5.356275260717202,0.4558635715228593,5
78,ENSG00000005100,DEAH (Asp-Glu-Ala-His) box polypeptide 33,Expressed in all tissues,3.402734731252987,0.5443307880339211,3
81,ENSG00000005156,"ligase III, DNA, ATP-dependent",Expressed in all tissues,4.3059067348968,0.6355768394054497,4
85,ENSG00000005194,cytokine induced apoptosis inhibitor 1,Expressed in all tissues,5.087795016427329,0.6492608098537336,5
86,ENSG00000005238,"family with sequence similarity 214, member B",Expressed in all tissues,4.144513196037867,0.7686499693982777,4
89,ENSG00000005302,male-specific lethal 3 homolog (Drosophila),Expressed in all tissues,5.41076151957462,0.981338305737547,5
90,ENSG00000005339,CREB binding protein,Expressed in all tissues,5.020582539285541,0.6499340351522038,5
94,ENSG00000005436,GC-rich sequence DNA-binding factor 2,Expressed in all tissues,4.249749991396449,0.5129633862703796,4
98,ENSG00000005483,lysine (K)-specific methyltransferase 2E,Expressed in all tissues,5.5801191272505255,0.7157192197528023,5
99,ENSG00000005486,rhomboid domain containing 2,Expressed in all tissues,6.026888015017234,0.8768850432070342,6
101,ENSG00000005700,inhibitor of Bruton agammaglobulinemia tyrosine kinase,Expressed in all tissues,5.065329176004546,0.5350109714062977,5
102,ENSG00000005801,zinc finger protein 195,Expressed in all tissues,4.335580777739499,0.627498720674166,4
103,ENSG00000005810,"MYC binding protein 2, E3 ubiquitin protein ligase",Expressed in all tissues,5.196758097963753,0.8360455426574845,5
104,ENSG00000005812,F-box and leucine-rich repeat protein 3,Expressed in all tissues,5.646734141597019,0.6242202290837366,5
106,ENSG00000005882,"pyruvate dehydrogenase kinase, isozyme 2",Expressed in all tissues,6.003657917944613,0.9304798893091988,6
108,ENSG00000005889,"zinc finger protein, X-linked",Expressed in all tissues,4.282186959371376,0.7076382450431062,4
109,ENSG00000005893,lysosomal-associated membrane protein 2,Expressed in all tissues,7.236676153907027,0.5501843823055833,7
110,ENSG00000005955,gametogenetin binding protein 2,Expressed in all tissues,6.170602335627093,0.6190091811064405,6
113,ENSG00000006007,glycerophosphodiester phosphodiesterase 1,Expressed in all tissues,6.193984000238231,0.6102405318706844,6
114,ENSG00000006015,chromosome 19 open reading frame 60,Expressed in all tissues,4.379511033936824,0.88739741365673,4
123,ENSG00000006114,"synergin, gamma",Expressed in all tissues,4.75732988031387,0.7372175426272687,4
126,ENSG00000006125,"adaptor-related protein complex 2, beta 1 subunit",Expressed in all tissues,6.296276505652533,0.8275601572296306,6
128,ENSG00000006194,zinc finger protein 263,Expressed in all tissues,5.067794855778171,0.6152835700684949,5
130,ENSG00000006282,spermatogenesis associated 20,Expressed in all tissues,5.716664098436256,0.7831173882109477,5
135,ENSG00000006451,v-ral simian leukemia viral oncogene homolog A (ras related),Expressed in all tissues,5.335601778240238,0.7918794072714161,5
137,ENSG00000006459,lysine (K)-specific demethylase 7A,Expressed in all tissues,3.7845583779040464,0.7976420974770958,3
139,ENSG00000006530,acylglycerol kinase,Expressed in all tissues,4.3894391762753875,0.6348136606321684,4
144,ENSG00000006607,"FERM, RhoGEF and pleckstrin domain protein 2",Expressed in all tissues,4.698855352540332,0.7594110096878522,4
146,ENSG00000006625,gamma-glutamylcyclotransferase,Expressed in all tissues,5.865192816590441,0.6256323847524867,5
149,ENSG00000006652,interferon-related developmental regulator 1,Expressed in all tissues,5.885142040284367,0.6667470542849463,5
151,ENSG00000006695,cytochrome c oxidase assembly homolog 10 (yeast),Expressed in all tissues,4.082985316592718,0.675451496817996,4
154,ENSG00000006715,vacuolar protein sorting 41 homolog (S. cerevisiae),Expressed in all tissues,5.67429489535846,0.807778240193589,5
156,ENSG00000006744,elaC ribonuclease Z 2,Expressed in all tissues,5.6022191006739295,0.4358372858827961,5
159,ENSG00000006757,patatin-like phospholipase domain containing 4,Expressed in all tissues,4.774986723030752,0.7038745689415082,4
161,ENSG00000006831,adiponectin receptor 2,Expressed in all tissues,5.751642915899204,0.6362313633646457,5
165,ENSG00000007047,MAP/microtubule affinity-regulating kinase 4,Expressed in all tissues,4.431876752586845,0.7378031322695172,4
167,ENSG00000007080,coiled-coil domain containing 124,Expressed in all tissues,5.393615372966674,0.6368107376611354,5
169,ENSG00000007168,"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)",Expressed in all tissues,6.484082692968693,0.72502134669183,6
172,ENSG00000007202,KIAA0100,Expressed in all tissues,5.81385585311689,0.6607459661411373,5
175,ENSG00000007255,trafficking protein particle complex 6A,Expressed in all tissues,5.085464772747213,0.6506375636926476,5
180,ENSG00000007341,suppression of tumorigenicity 7 like,Expressed in all tissues,4.276526664554919,0.72965875745922,4
183,ENSG00000007376,RNA pseudouridylate synthase domain containing 1,Expressed in all tissues,3.3049021928838225,0.6354228808785776,3
185,ENSG00000007392,LUC7-like (S. cerevisiae),Expressed in all tissues,6.108936048205083,0.6970629416099301,6
188,ENSG00000007520,"TSR3, 20S rRNA accumulation, homolog (S. cerevisiae)",Expressed in all tissues,5.223849800298206,0.4697055813712106,5
189,ENSG00000007541,"phosphatidylinositol glycan anchor biosynthesis, class Q",Expressed in all tissues,4.767061537029653,0.8134548798514633,4
190,ENSG00000007545,"Crm, cramped-like (Drosophila)",Expressed in all tissues,3.8658206049576327,0.8337151334849564,3
193,ENSG00000007923,"DnaJ (Hsp40) homolog, subfamily C, member 11",Expressed in all tissues,5.476185779729224,0.5635665382904349,5
198,ENSG00000008018,"proteasome (prosome, macropain) subunit, beta type, 1",Expressed in all tissues,7.906036130993615,0.4806991373254839,7
200,ENSG00000008083,"jumonji, AT rich interactive domain 2",Expressed in all tissues,3.5465874287235253,0.956692677370477,3
203,ENSG00000008128,cyclin-dependent kinase 11A,Expressed in all tissues,6.0081896434422974,0.7661755513420849,6
204,ENSG00000008130,NAD kinase,Expressed in all tissues,6.034172428450269,0.8055317930550218,6
208,ENSG00000008256,cytohesin 3,Expressed in all tissues,4.46769530616543,0.9991544893119245,4
210,ENSG00000008282,synaptophysin-like 1,Expressed in all tissues,7.1232609772612605,0.6565917541073473,7
212,ENSG00000008294,sperm associated antigen 9,Expressed in all tissues,6.07729574572349,0.7681525104785624,6
216,ENSG00000008324,synovial sarcoma translocation gene on chromosome 18-like 2,Expressed in all tissues,5.09220304088684,0.7730573097892522,5
217,ENSG00000008382,MPN domain containing,Expressed in all tissues,4.412480737969332,0.48346609327999834,4
219,ENSG00000008405,cryptochrome 1 (photolyase-like),Expressed in all tissues,4.5256461527746525,0.8017112901688949,4
225,ENSG00000008710,polycystic kidney disease 1 (autosomal dominant),Expressed in all tissues,5.355410580409263,0.9098842630744277,5
227,ENSG00000008838,mediator complex subunit 24,Expressed in all tissues,5.912852753219685,0.5612051106015065,5
229,ENSG00000008869,HEAT repeat containing 5B,Expressed in all tissues,4.207752247259525,0.6217056387654524,4
230,ENSG00000008952,SEC62 homolog (S. cerevisiae),Expressed in all tissues,6.990969726017449,0.5875431536096527,6
232,ENSG00000009307,"cold shock domain containing E1, RNA-binding",Expressed in all tissues,8.538188047824578,0.5016119288577011,8
233,ENSG00000009335,ubiquitin protein ligase E3C,Expressed in all tissues,5.469817416727284,0.4665303200295938,5
239,ENSG00000009780,"family with sequence similarity 76, member A",Expressed in all tissues,3.6697230074006812,0.5805537540918384,3
241,ENSG00000009830,protein-O-mannosyltransferase 2,Expressed in all tissues,3.9227836138128303,0.7296164095073173,3
242,ENSG00000009844,vesicle (multivesicular body) trafficking 1,Expressed in all tissues,5.517848121348459,0.6017402374411848,5
244,ENSG00000009954,"bromodomain adjacent to zinc finger domain, 1B",Expressed in all tissues,5.256306658816327,0.5506900091797176,5
245,ENSG00000010017,RAN binding protein 9,Expressed in all tissues,5.666149658278458,0.8009102634282476,5
247,ENSG00000010072,SprT-like N-terminal domain,Expressed in all tissues,3.1292812024327876,0.7455070878761868,3
248,ENSG00000010165,methyltransferase like 13,Expressed in all tissues,4.681439784245088,0.6141522124454211,4
249,ENSG00000010219,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4,Expressed in all tissues,5.339555218081762,0.7381474412376595,5
250,ENSG00000010244,zinc finger protein 207,Expressed in all tissues,7.136013363711264,0.682379414087962,7
251,ENSG00000010256,ubiquinol-cytochrome c reductase core protein I,Expressed in all tissues,8.183238139759167,0.687798289217949,8
252,ENSG00000010270,STARD3 N-terminal like,Expressed in all tissues,5.386995529380414,0.8927036410041922,5
255,ENSG00000010292,"non-SMC condensin I complex, subunit D2",Expressed in all tissues,4.591991960227181,0.9926974840467941,4
256,ENSG00000010295,intermediate filament family orphan 1,Expressed in all tissues,4.3692587806812435,0.8911164315893624,4
260,ENSG00000010322,nischarin,Expressed in all tissues,6.076343476601708,0.7425642012405214,6
262,ENSG00000010361,fuzzy planar cell polarity protein,Expressed in all tissues,4.053230400421357,0.9159819153154432,4
264,ENSG00000010404,iduronate 2-sulfatase,Expressed in all tissues,6.598164361258852,0.9544415645362486,6
266,ENSG00000010539,zinc finger protein 200,Expressed in all tissues,3.0943528225373504,0.899103672977202,3
271,ENSG00000010803,sex comb on midleg homolog 1 (Drosophila),Expressed in all tissues,5.145901619342153,0.6888664752479297,5
273,ENSG00000010818,human immunodeficiency virus type I enhancer binding protein 2,Expressed in all tissues,3.8860676308637965,0.8669891274134112,3
276,ENSG00000011009,lysophospholipase II,Expressed in all tissues,5.147647879325812,0.656576146620296,5
277,ENSG00000011021,"chloride channel, voltage-sensitive 6",Expressed in all tissues,3.8922052474939424,0.8401678284163698,3
279,ENSG00000011052,NME/NM23 nucleoside diphosphate kinase 2,Expressed in all tissues,3.4593390046998134,0.7056400126741001,3
282,ENSG00000011114,BTB (POZ) domain containing 7,Expressed in all tissues,4.122079050127716,0.6526994096740381,4
283,ENSG00000011132,"amyloid beta (A4) precursor protein-binding, family A, member 3",Expressed in all tissues,4.120552819929944,0.6142265056487464,4
284,ENSG00000011143,"Meckel syndrome, type 1",Expressed in all tissues,4.193500188246249,0.6898341528891757,4
285,ENSG00000011198,abhydrolase domain containing 5,Expressed in all tissues,4.754163805820006,0.824439786228006,4
287,ENSG00000011243,A kinase (PRKA) anchor protein 8-like,Expressed in all tissues,6.256369395482695,0.5681605789441005,6
288,ENSG00000011258,mbt domain containing 1,Expressed in all tissues,3.8561083129937814,0.7236440143410956,3
289,ENSG00000011260,UTP18 small subunit (SSU) processome component homolog (yeast),Expressed in all tissues,5.095337883021268,0.7815543179228376,5
290,ENSG00000011275,ring finger protein 216,Expressed in all tissues,4.788559020196772,0.7141255741572036,4
291,ENSG00000011295,tetratricopeptide repeat domain 19,Expressed in all tissues,5.375552964382399,0.5818163295237649,5
292,ENSG00000011304,polypyrimidine tract binding protein 1,Expressed in all tissues,7.454200998745963,0.6784718507280053,7
296,ENSG00000011405,"phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha",Expressed in all tissues,4.919804711499679,0.9369395385594259,4
299,ENSG00000011451,widely interspaced zinc finger motifs,Expressed in all tissues,4.0919698910104545,0.652456054183631,4
300,ENSG00000011454,RAB GTPase activating protein 1,Expressed in all tissues,5.5056235950982835,0.8010823877627258,5
303,ENSG00000011485,"protein phosphatase 5, catalytic subunit",Expressed in all tissues,5.691517159458004,0.4954831712520217,5
304,ENSG00000011523,centrosomal protein 68kDa,Expressed in all tissues,4.147004619843696,0.8253580127238603,4
305,ENSG00000011566,mitogen-activated protein kinase kinase kinase kinase 3,Expressed in all tissues,4.836881826556814,0.7249448251920618,4
310,ENSG00000012048,"breast cancer 1, early onset",Expressed in all tissues,2.6756718999781457,0.9918215903574733,2
311,ENSG00000012061,"excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)",Expressed in all tissues,6.070316631182776,0.4766637409281029,6
316,ENSG00000012232,exostosin-like glycosyltransferase 3,Expressed in all tissues,4.143212243324895,0.9221901625630815,4
321,ENSG00000012822,calcium binding and coiled-coil domain 1,Expressed in all tissues,7.0966556972049535,0.6452260049370853,7
322,ENSG00000012963,ubiquitin protein ligase E3 component n-recognin 7 (putative),Expressed in all tissues,4.833819375727676,0.5914576541544403,4
323,ENSG00000012983,mitogen-activated protein kinase kinase kinase kinase 5,Expressed in all tissues,5.075672139556338,0.8607066764864387,5
325,ENSG00000013275,"proteasome (prosome, macropain) 26S subunit, ATPase, 4",Expressed in all tissues,6.414516017681195,0.5295623654133521,6
326,ENSG00000013288,"mannosidase, alpha, class 2B, member 2",Expressed in all tissues,4.548688759446997,0.7937176136861107,4
331,ENSG00000013374,negative regulator of ubiquitin-like proteins 1,Expressed in all tissues,6.353120575251831,0.5276058733674565,6
332,ENSG00000013375,phosphoglucomutase 3,Expressed in all tissues,5.051143050266524,0.8837533042683287,5
334,ENSG00000013441,CDC-like kinase 1,Expressed in all tissues,7.393443487482573,0.7805549177478964,7
336,ENSG00000013523,angel homolog 1 (Drosophila),Expressed in all tissues,4.472049508079339,0.8374537221902983,4
337,ENSG00000013561,ring finger protein 14,Expressed in all tissues,5.841243948915413,0.6038043611788312,5
338,ENSG00000013563,deoxyribonuclease I-like 1,Expressed in all tissues,4.9248416088266485,0.7233246354525189,4
339,ENSG00000013573,DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11,Expressed in all tissues,4.601940580835922,0.7966458908859111,4
340,ENSG00000013583,heme binding protein 1,Expressed in all tissues,6.24569937818266,0.8433071564540154,6
345,ENSG00000014123,UFM1-specific ligase 1,Expressed in all tissues,5.185547547386707,0.45983383124858845,5
347,ENSG00000014164,zinc finger CCCH-type containing 3,Expressed in all tissues,3.2379612182749913,0.713562935307651,3
348,ENSG00000014216,"calpain 1, (mu/I) large subunit",Expressed in all tissues,6.834168933252978,0.9300059584934481,6
350,ENSG00000014641,"malate dehydrogenase 1, NAD (soluble)",Expressed in all tissues,7.895326574148472,0.8931088562706432,7
353,ENSG00000014919,cytochrome c oxidase assembly homolog 15 (yeast),Expressed in all tissues,5.213786066630738,0.5806843035833457,5
355,ENSG00000015153,YY1 associated factor 2,Expressed in all tissues,4.879091976197072,0.6927087072910837,4
356,ENSG00000015171,"zinc finger, MYND-type containing 11",Expressed in all tissues,6.191548693558074,0.7272110835303479,6
360,ENSG00000015479,matrin 3,Expressed in all tissues,8.02437966748487,0.6489533632151386,8
362,ENSG00000015532,xylosyltransferase II,Expressed in all tissues,3.944659016207294,0.7503717952601543,3
363,ENSG00000015568,RANBP2-like and GRIP domain containing 5,Expressed in all tissues,4.197826689484281,0.8063167453028572,4
365,ENSG00000015676,NudC domain containing 3,Expressed in all tissues,6.592586818393166,0.7454356363312893,6
371,ENSG00000016864,glycosyltransferase 8 domain containing 1,Expressed in all tissues,6.255428102378349,0.8163493680477653,6
372,ENSG00000017260,"ATPase, Ca++ transporting, type 2C, member 1",Expressed in all tissues,6.0789225298021785,0.6827908936911056,6
377,ENSG00000017797,ralA binding protein 1,Expressed in all tissues,5.40819891494313,0.6971537305563811,5
378,ENSG00000018189,RUN and FYVE domain containing 3,Expressed in all tissues,5.491286516383331,0.9380432098140005,5
382,ENSG00000018510,alkylglycerone phosphate synthase,Expressed in all tissues,4.046816684589822,0.6787459764943289,4
383,ENSG00000018610,chromosome X open reading frame 56,Expressed in all tissues,3.820844914082955,0.5574167600023598,3
385,ENSG00000018699,tetratricopeptide repeat domain 27,Expressed in all tissues,4.175908952042776,0.8115240082799221,4
391,ENSG00000019485,PR domain containing 11,Expressed in all tissues,2.789918064865623,0.8678531375457219,2
396,ENSG00000019995,"zinc finger, RAN-binding domain containing 1",Expressed in all tissues,4.592454766978871,0.5921938728432672,4
399,ENSG00000020256,ZFP64 zinc finger protein,Expressed in all tissues,3.4974588304121847,0.679816933194504,3
400,ENSG00000020426,MNAT CDK-activating kinase assembly factor 1,Expressed in all tissues,5.913707699854902,0.9275671428408915,5
403,ENSG00000020922,MRE11 meiotic recombination 11 homolog A (S. cerevisiae),Expressed in all tissues,3.9596254708767753,0.787203166954759,3
408,ENSG00000021574,spastin,Expressed in all tissues,3.5900924135347756,0.704330638860249,3
410,ENSG00000021762,oxysterol binding protein-like 5,Expressed in all tissues,4.11942695010619,0.8695963225684558,4
411,ENSG00000021776,aquarius intron-binding spliceosomal factor,Expressed in all tissues,4.320001072601536,0.732845903444709,4
415,ENSG00000022277,replication termination factor 2 domain containing 1,Expressed in all tissues,6.901064108889998,0.4919222746799692,6
419,ENSG00000022840,ring finger protein 10,Expressed in all tissues,7.229176531325951,0.4945536191040893,7
420,ENSG00000022976,zinc finger protein 839,Expressed in all tissues,3.9919480716557687,0.6534672647439203,3
421,ENSG00000023041,"zinc finger, DHHC-type containing 6",Expressed in all tissues,5.614020455616966,0.7067725008186021,5
423,ENSG00000023191,ribonuclease/angiogenin inhibitor 1,Expressed in all tissues,6.811621081568572,0.5916284174800613,6
424,ENSG00000023228,"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)",Expressed in all tissues,6.205665499518004,0.8221562476820027,6
425,ENSG00000023287,RB1-inducible coiled-coil 1,Expressed in all tissues,5.071174605291829,0.6129807378758823,5
426,ENSG00000023318,endoplasmic reticulum protein 44,Expressed in all tissues,4.9654160430283305,0.6124911562967651,4
429,ENSG00000023516,A kinase (PRKA) anchor protein 11,Expressed in all tissues,4.27018462794137,0.9796958624970007,4
430,ENSG00000023572,glutaredoxin 2,Expressed in all tissues,4.366747391249782,0.7124607595743311,4
432,ENSG00000023697,deoxyribose-phosphate aldolase (putative),Expressed in all tissues,5.932095984919813,0.8069486910738258,5
433,ENSG00000023734,serine/threonine kinase receptor associated protein,Expressed in all tissues,6.8511350270905655,0.4655393327633939,6
438,ENSG00000024048,ubiquitin protein ligase E3 component n-recognin 2,Expressed in all tissues,4.372665338649454,0.386214008991384,4
441,ENSG00000024862,coiled-coil domain containing 28A,Expressed in all tissues,5.155008155305089,0.7292775842146626,5
444,ENSG00000025293,PHD finger protein 20,Expressed in all tissues,4.455130367320364,0.7081402877130069,4
448,ENSG00000025770,"non-SMC condensin II complex, subunit H2",Expressed in all tissues,5.155951496509483,0.5556777716927126,5
450,ENSG00000025796,SEC63 homolog (S. cerevisiae),Expressed in all tissues,5.896756693884518,0.6254624596845173,5
451,ENSG00000025800,karyopherin alpha 6 (importin alpha 7),Expressed in all tissues,4.634370046170261,0.5840149592596942,4
464,ENSG00000027697,interferon gamma receptor 1,Expressed in all tissues,6.951100711099179,0.8883939245478423,6
465,ENSG00000027847,"xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7",Expressed in all tissues,4.425592871289703,0.45423702557253887,4
467,ENSG00000028116,vaccinia related kinase 2,Expressed in all tissues,4.593704070907887,0.5879203633701686,4
469,ENSG00000028203,"vezatin, adherens junctions transmembrane protein",Expressed in all tissues,5.776722533938345,0.6547193254322768,5
471,ENSG00000028310,bromodomain containing 9,Expressed in all tissues,4.997139080285837,0.5718582373031497,4
472,ENSG00000028528,sorting nexin 1,Expressed in all tissues,6.685024685133166,0.6265956187396335,6
480,ENSG00000029725,"rabaptin, RAB GTPase binding effector protein 1",Expressed in all tissues,5.310485055431062,0.6390120987041846,5
482,ENSG00000030066,nucleoporin 160kDa,Expressed in all tissues,4.740637058765872,0.6865039346419333,4
483,ENSG00000030110,BCL2-antagonist/killer 1,Expressed in all tissues,3.898190490236042,0.9698620456029933,3
486,ENSG00000030582,granulin,Expressed in all tissues,7.616870411464108,0.936293246684381,7
487,ENSG00000031003,"family with sequence similarity 13, member B",Expressed in all tissues,4.81602916604979,0.9746566760925697,4
489,ENSG00000031691,centromere protein Q,Expressed in all tissues,2.9396118692199233,0.7461248109116235,2
490,ENSG00000031698,seryl-tRNA synthetase,Expressed in all tissues,7.204971912923184,0.49988373943665415,7
491,ENSG00000031823,RAN binding protein 3,Expressed in all tissues,5.782422040804027,0.5496439965843803,5
492,ENSG00000032219,AT rich interactive domain 4A (RBP1-like),Expressed in all tissues,4.292912764061239,0.78061980881031,4
493,ENSG00000032389,tumor suppressing subtransferable candidate 1,Expressed in all tissues,4.710307233167811,0.7359199961929561,4
494,ENSG00000032444,patatin-like phospholipase domain containing 6,Expressed in all tissues,5.062718337612676,0.8042684471106591,5
496,ENSG00000033011,"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase",Expressed in all tissues,4.235916326650503,0.6478677100074284,4
497,ENSG00000033030,"zinc finger, CCHC domain containing 8",Expressed in all tissues,4.795578031696838,0.6861148763939321,4
498,ENSG00000033050,"ATP-binding cassette, sub-family F (GCN20), member 2",Expressed in all tissues,4.972226654283815,0.674935302506302,4
499,ENSG00000033100,chondroitin polymerizing factor 2,Expressed in all tissues,4.41766190283486,0.7237245600745591,4
502,ENSG00000033178,ubiquitin-like modifier activating enzyme 6,Expressed in all tissues,4.4496390181106715,0.7477825548186281,4
504,ENSG00000033627,"ATPase, H+ transporting, lysosomal V0 subunit a1",Expressed in all tissues,5.750157002551573,0.7346611945894823,5
505,ENSG00000033800,"protein inhibitor of activated STAT, 1",Expressed in all tissues,5.4915483743084375,0.7798174550862964,5
508,ENSG00000034152,mitogen-activated protein kinase kinase 3,Expressed in all tissues,5.78699694200965,0.8114600519529527,5
510,ENSG00000034510,thymosin beta 10,Expressed in all tissues,10.20078272561147,0.9246143279399442,10
512,ENSG00000034677,"ring finger protein 19A, RBR E3 ubiquitin protein ligase",Expressed in all tissues,5.768566997620771,0.7528293488871726,5
513,ENSG00000034693,peroxisomal biogenesis factor 3,Expressed in all tissues,4.697031459432586,0.7996528552994497,4
514,ENSG00000034713,GABA(A) receptor-associated protein-like 2,Expressed in all tissues,7.436723387395907,0.6012981498091388,7
517,ENSG00000035141,"family with sequence similarity 136, member A",Expressed in all tissues,5.364990267283316,0.48019967763070026,5
521,ENSG00000035681,neutral sphingomyelinase (N-SMase) activation associated factor,Expressed in all tissues,4.985854081999703,0.6959536683897503,4
522,ENSG00000035687,adenylosuccinate synthase,Expressed in all tissues,5.286249499222984,0.9000758125881844,5
525,ENSG00000035928,"replication factor C (activator 1) 1, 145kDa",Expressed in all tissues,5.275273166957139,0.5342557111899623,5
526,ENSG00000036054,"TBC1 domain family, member 23",Expressed in all tissues,4.963327336230884,0.46057053967241074,4
527,ENSG00000036257,cullin 3,Expressed in all tissues,6.225493832288499,0.6710461815664152,6
531,ENSG00000036549,"zinc finger, ZZ-type containing 3",Expressed in all tissues,4.779039890708998,0.5846757608104757,4
535,ENSG00000037042,"tubulin, gamma 2",Expressed in all tissues,4.902448344064077,0.8098266815616555,4
538,ENSG00000037474,"NOP2/Sun RNA methyltransferase family, member 2",Expressed in all tissues,5.702288827084847,0.5525372711549503,5
539,ENSG00000037637,F-box protein 42,Expressed in all tissues,4.34118538391899,0.5862565910991033,4
540,ENSG00000037749,microfibrillar-associated protein 3,Expressed in all tissues,4.692912480692269,0.6829984481817258,4
541,ENSG00000037757,methylthioribose-1-phosphate isomerase 1,Expressed in all tissues,4.707852547902354,0.6472047317640578,4
542,ENSG00000037897,methyltransferase like 1,Expressed in all tissues,4.355275439633275,0.6593470781502109,4
544,ENSG00000038002,aspartylglucosaminidase,Expressed in all tissues,4.783390170673808,0.48533416788571526,4
545,ENSG00000038210,phosphatidylinositol 4-kinase type 2 beta,Expressed in all tissues,4.791580801667626,0.821729663943469,4
546,ENSG00000038219,biorientation of chromosomes in cell division 1-like 1,Expressed in all tissues,4.747549414685755,0.725393590481705,4
547,ENSG00000038274,"methionine adenosyltransferase II, beta",Expressed in all tissues,6.636515130954512,0.7862253904465445,6
549,ENSG00000038358,enhancer of mRNA decapping 4,Expressed in all tissues,5.6139138260312995,0.6207802243036418,5
550,ENSG00000038382,trio Rho guanine nucleotide exchange factor,Expressed in all tissues,4.791817824774767,0.9077526402358191,4
552,ENSG00000038532,"C-type lectin domain family 16, member A",Expressed in all tissues,4.166706510259912,0.7997823994437531,4
555,ENSG00000039123,superkiller viralicidic activity 2-like 2 (S. cerevisiae),Expressed in all tissues,5.8060338779947935,0.5785395880935807,5
