target_id	length	eff_length	est_counts	tpm
lcl|CP014584.1_mrna_75	2754	2496.68	1334	8.60103
lcl|CP014584.1_mrna_76	2844	2586.68	2981	18.5514
lcl|CP014584.1_mrna_77	1799	1541.68	11265	117.623
lcl|CP014584.1_mrna_78	1478	1220.68	7106.2	93.7114
lcl|CP014584.1_mrna_79	1386	1128.68	1707.8	24.357
lcl|CP014584.1_mrna_80	3879	3621.68	211.184	0.938657
lcl|CP014584.1_mrna_81	1095	837.677	939	18.0445
lcl|CP014584.1_mrna_82	330	85.7942	1259	236.224
lcl|CP014584.1_mrna_83	2175	1917.68	14575	122.346
lcl|CP014584.1_mrna_84	3430	3172.68	4626	23.4712
lcl|CP014584.1_mrna_85	2235	1977.68	504	4.10234
lcl|CP014584.1_mrna_86	2744	2486.68	317	2.05209
lcl|CP014584.1_mrna_87	620	362.791	3407	151.172
lcl|CP014584.1_mrna_88	1378	1120.68	1211	17.3948
lcl|CP014584.1_mrna_89	1094	836.677	2265	43.5779
lcl|CP014584.1_mrna_90	330	85.7942	82939.9	15561.9
lcl|CP014584.1_mrna_91	886	628.688	524.119	13.42
lcl|CP014584.1_mrna_92	507	249.986	0	0
lcl|CP014584.1_mrna_93	550	292.883	127	6.98017
lcl|CP014584.1_mrna_94	847	589.693	3613	98.6276
lcl|CP014584.1_mrna_95	324	81.5175	3379	667.258
lcl|CP014584.1_mrna_96	1835	1577.68	4922	50.2203
lcl|CP014584.1_mrna_97	1958	1700.68	1711.39	16.1988
lcl|CP014584.1_mrna_98	1591	1333.68	6209.61	74.9496
lcl|CP014584.1_mrna_99	2191	1933.68	1219	10.1479
lcl|CP014584.1_mrna_100	2075	1817.68	3656	32.3777
lcl|CP014584.1_mrna_101	2139	1881.68	1233.25	10.5502
lcl|CP014584.1_mrna_102	2197	1939.68	1893.75	15.7163
lcl|CP014584.1_mrna_103	931	673.677	2510	59.9761
lcl|CP014584.1_mrna_104	858	600.693	421	11.282
lcl|CP014584.1_mrna_105	2519	2261.68	3243.92	23.0885
lcl|CP014584.1_mrna_106	1784	1526.68	2078	21.9106
lcl|CP014584.1_mrna_107	4008	3750.68	2889	12.3992
lcl|CP014584.1_mrna_108	1975	1717.68	992	9.29665
lcl|CP014584.1_mrna_109	1284	1026.68	9012	141.3
lcl|CP014584.1_mrna_110	1119	861.677	844	15.7672
lcl|CP014584.1_mrna_111	489	232.1	1697	117.696
lcl|CP014584.1_mrna_112	605	347.8	1190	55.0775
lcl|CP014584.1_mrna_113	1623	1365.68	3024	35.6443
lcl|CP014584.1_mrna_114	1563	1305.68	1914	23.5973
lcl|CP014584.1_mrna_115	507	249.986	1022	65.8099
lcl|CP014584.1_mrna_116	2882	2624.68	5841	35.8235
lcl|CP014584.1_mrna_117	3648	3390.68	6777	32.1742
lcl|CP014584.1_mrna_118	1965	1707.68	965	9.09657
lcl|CP014584.1_mrna_119	804	546.697	903	26.5887
lcl|CP014584.1_mrna_120	733	475.71	1673	56.6121
lcl|CP014584.1_mrna_121	2291	2033.68	1323	10.4721
lcl|CP014584.1_mrna_122	1666	1408.68	972	11.1074
lcl|CP014584.1_mrna_123	1131	873.677	410	7.55421
lcl|CP014584.1_mrna_124	993	735.677	2067	45.2282
lcl|CP014584.1_mrna_125	1161	903.677	4803	85.557
lcl|CP014584.1_mrna_126	1418	1160.68	1163	16.1296
lcl|CP014584.1_mrna_127	1095	837.677	378	7.26392
lcl|CP014584.1_mrna_128	1026	768.677	490	10.2614
lcl|CP014584.1_mrna_129	858	600.693	1853	49.6568
lcl|CP014584.1_mrna_130	990	732.677	848.787	18.6484
lcl|CP014584.1_mrna_131	2506	2248.68	7811.21	55.9175
lcl|CP014584.1_mrna_132	1326	1068.68	941	14.1742
lcl|CP014584.1_mrna_133	893	635.682	6943	175.818
lcl|CP014584.1_mrna_134	1913	1655.68	14105.3	137.139
lcl|CP014584.1_mrna_135	4146	3888.68	3124.74	12.935
lcl|CP014584.1_mrna_136	1185	927.677	704	12.2161
lcl|CP014584.1_mrna_137	2745	2487.68	531	3.43603
lcl|CP014584.1_mrna_138	6210	5952.68	3384.67	9.15294
lcl|CP014584.1_mrna_139	1302	1044.68	172.325	2.65536
lcl|CP014584.1_mrna_140	991	733.677	17316	379.926
lcl|CP014584.1_mrna_141	984	726.677	9697	214.809
lcl|CP014584.1_mrna_142	712	454.722	1066	37.737
lcl|CP014584.1_mrna_143	387	133.421	649	78.3026
lcl|CP014584.1_mrna_144	2019	1761.68	1530	13.9805
lcl|CP014584.1_mrna_145	1539	1281.68	800	10.0477
lcl|CP014584.1_mrna_146	919	661.677	6435	156.552
lcl|CP014584.1_mrna_147	594	336.808	667	31.8786
lcl|CP014584.1_mrna_148	882	624.688	833.261	21.4721
lcl|CP014584.1_mrna_149	645	387.778	6045.74	250.97
lcl|CP014584.1_mrna_150	2775	2517.68	2227	14.2389
lcl|CP014584.1_mrna_151	825	567.697	69	1.95654
lcl|CP014584.1_mrna_152	1008	750.677	6055	129.843
lcl|CP014584.1_mrna_153	2103	1845.68	1288.16	11.2349
lcl|CP014584.1_mrna_154	8191	7933.68	2324.84	4.7171
lcl|CP014584.1_mrna_155	408	152.921	71062	7480.44
lcl|CP014584.1_mrna_156	3156	2898.68	5869	32.5927
lcl|CP014584.1_mrna_157	729	471.714	737	25.1504
lcl|CP014584.1_mrna_158	1598	1340.68	12907.9	154.984
lcl|CP014584.1_mrna_159	2144	1886.68	9675.13	82.5497
lcl|CP014584.1_mrna_160	1773	1515.68	2983	31.6813
lcl|CP014584.1_mrna_161	555	297.863	4164	225.035
lcl|CP014584.1_mrna_162	639	381.781	1405.28	59.2522
lcl|CP014584.1_mrna_163	1318	1060.68	2086.72	31.6692
lcl|CP014584.1_mrna_164	2282	2024.68	2374	18.8747
lcl|CP014584.1_mrna_165	539	281.904	17973	1026.3
lcl|CP014584.1_mrna_166	591	333.808	386	18.6143
lcl|CP014584.1_mrna_167	1615	1357.68	626	7.42222
lcl|CP014584.1_mrna_168	3750	3492.68	1769	8.15315
lcl|CP014584.1_mrna_169	2110	1852.68	2430	21.1136
lcl|CP014584.1_mrna_170	1266	1008.68	7873	125.645
lcl|CP014584.1_mrna_171	1359	1101.68	4127	60.3026
lcl|CP014584.1_mrna_172	1918	1660.68	2596	25.1638
lcl|CP014584.1_mrna_173	1197	939.677	2308.76	39.5508
lcl|CP014584.1_mrna_174	1350	1092.68	13859.2	204.176
lcl|CP014584.1_mrna_175	1341	1083.68	1889	28.06
lcl|CP014584.1_mrna_176	1533	1275.68	1738	21.9313
lcl|CP014584.1_mrna_177	1545	1287.68	2324	29.0526
lcl|CP014584.1_mrna_178	1866	1608.68	34081	341.035
lcl|CP014584.1_mrna_179	1639	1381.68	1475	17.1847
lcl|CP014584.1_mrna_180	2266	2008.68	1997.86	16.0107
lcl|CP014584.1_mrna_181	1407	1149.68	554.144	7.75895
lcl|CP014584.1_trna_182	73	27.6094	0	0
lcl|CP014584.1_mrna_183	765	507.706	127	4.02668
lcl|CP014584.1_mrna_184	1820	1562.68	7998	82.3888
lcl|CP014584.1_mrna_185	1754	1496.68	192920	2074.94
lcl|CP014584.1_mrna_186	2603	2345.68	5898	40.4755
lcl|CP014584.1_mrna_187	303	67.8832	599	142.043
lcl|CP014584.1_mrna_188	1113	855.677	391.954	7.37364
lcl|CP014584.1_mrna_189	1042	784.677	795.046	16.3101
lcl|CP014584.1_mrna_190	1971	1713.68	4534	42.5901
lcl|CP014584.1_trna_191	73	27.6094	7	4.08129
lcl|CP014584.1_mrna_192	1140	882.677	3087.25	56.3023
lcl|CP014584.1_mrna_193	1307	1049.68	411.749	6.31442
lcl|CP014584.1_mrna_194	1657	1399.68	178.089	2.04817
lcl|CP014584.1_mrna_195	1570	1312.68	469.911	5.76253
lcl|CP014584.1_mrna_196	2243	1985.68	7919	64.1975
lcl|CP014584.1_mrna_197	2506	2248.68	2394.49	17.1413
lcl|CP014584.1_mrna_198	2339	2081.68	820.507	6.3449
lcl|CP014584.1_mrna_199	1240	982.677	1229.93	20.1477
lcl|CP014584.1_mrna_200	3281	3023.68	2854.07	15.1945
lcl|CP014584.1_mrna_201	986	728.677	949	20.9646
lcl|CP014584.1_mrna_202	1742	1484.68	3471.01	37.634
lcl|CP014584.1_mrna_203	986	728.677	3632.99	80.2574
lcl|CP014584.1_mrna_204	1155	897.677	2681	48.0765
lcl|CP014584.1_mrna_205	2355	2097.68	2887	22.1546
lcl|CP014584.1_mrna_206	315	75.4136	1443	308.016
lcl|CP014584.1_mrna_207	3168	2910.68	2113.83	11.6905
lcl|CP014584.1_mrna_208	2123	1865.68	650.173	5.60982
lcl|CP014584.1_mrna_209	2032	1774.68	3446	31.2573
lcl|CP014584.1_mrna_210	1744	1486.68	2320	25.1205
lcl|CP014584.1_mrna_211	858	600.693	2945	78.9204
lcl|CP014584.1_mrna_212	909	651.677	1025	25.3191
lcl|CP014584.1_mrna_213	1369	1111.68	2378	34.4341
lcl|CP014584.1_mrna_214	1212	954.677	12846	216.605
lcl|CP014584.1_mrna_215	2878	2620.68	1487	9.13384
lcl|CP014584.1_mrna_216	1701	1443.68	40820	455.154
lcl|CP014584.1_mrna_217	1586	1328.68	4268.02	51.7086
lcl|CP014584.1_mrna_218	1383	1125.68	1493	21.3502
lcl|CP014584.1_mrna_219	2599	2341.68	747.566	5.139
lcl|CP014584.1_mrna_220	4519	4261.68	1358.43	5.13114
lcl|CP014584.1_mrna_221	623	365.791	2282	100.424
lcl|CP014584.1_mrna_222	624	366.791	3250	142.633
lcl|CP014584.1_mrna_223	2214	1956.68	1927	15.8533
lcl|CP014584.1_mrna_224	1556	1298.68	13836	171.501
lcl|CP014584.1_mrna_225	777	519.702	377	11.6773
lcl|CP014584.1_mrna_226	2624	2366.68	2796	19.0175
lcl|CP014584.1_mrna_227	1473	1215.68	1754	23.2256
lcl|CP014584.1_mrna_228	1536	1278.68	2604	32.7821
lcl|CP014584.1_mrna_229	1515	1257.68	50	0.639966
lcl|CP014584.1_mrna_230	909	651.677	68610	1694.77
lcl|CP014584.1_mrna_231	1399	1141.68	2289	32.2744
lcl|CP014584.1_mrna_232	816	558.697	993	28.6107
lcl|CP014584.1_mrna_233	2024	1766.68	349606	3185.5
lcl|CP014584.1_mrna_234	936	678.677	12759	302.628
lcl|CP014584.1_mrna_235	555	297.863	1500	81.0645
lcl|CP014584.1_mrna_236	1083	825.677	77615	1513.18
lcl|CP014584.1_mrna_237	1778	1520.68	4588.5	48.5724
lcl|CP014584.1_mrna_238	1857	1599.68	4562.5	45.9121
lcl|CP014584.1_mrna_239	900	642.682	7740	193.866
lcl|CP014584.1_mrna_240	525	267.941	2393	143.767
lcl|CP014584.1_mrna_241	810	552.697	1453	42.3189
lcl|CP014584.1_mrna_242	372	119.852	17	2.28329
lcl|CP014584.1_mrna_243	993	735.677	10893	238.351
lcl|CP014584.1_mrna_244	4428	4170.68	7216	27.8513
lcl|CP014584.1_mrna_245	829	571.697	5162	145.348
lcl|CP014584.1_mrna_246	882	624.688	532	13.709
lcl|CP014584.1_mrna_247	714	456.722	440	15.508
lcl|CP014584.1_mrna_248	1893	1635.68	3741.09	36.8177
lcl|CP014584.1_mrna_249	1663	1405.68	5899.91	67.5641
lcl|CP014584.1_mrna_250	2567	2309.68	3509	24.4562
lcl|CP014584.1_mrna_251	2194	1936.68	5492.92	45.6565
lcl|CP014584.1_mrna_252	660	402.769	1159.08	46.3248
lcl|CP014584.1_mrna_253	4612	4354.68	4873.46	18.0151
lcl|CP014584.1_mrna_254	4335	4077.68	1311.92	5.17905
lcl|CP014584.1_mrna_255	1307	1049.68	538.413	8.25688
lcl|CP014584.1_mrna_256	1380	1122.68	611	8.76077
lcl|CP014584.1_mrna_257	1182	924.677	2353	40.9626
lcl|CP014584.1_mrna_258	474	217.21	1314.62	97.4263
lcl|CP014584.1_mrna_259	886	628.688	2348.38	60.1298
lcl|CP014584.1_mrna_260	1300	1042.68	869.242	13.4198
lcl|CP014584.1_mrna_261	1705	1447.68	1023.09	11.3762
lcl|CP014584.1_mrna_262	1572	1314.68	16769	205.326
lcl|CP014584.1_mrna_263	1311	1053.68	77	1.17636
lcl|CP014584.1_mrna_264	1008	750.677	5692	122.058
lcl|CP014584.1_mrna_265	1812	1554.68	3655.02	37.8447
lcl|CP014584.1_mrna_266	1147	889.677	15098	273.176
lcl|CP014584.1_mrna_267	996	738.677	1686	36.7417
lcl|CP014584.1_mrna_268	2748	2490.68	4137	26.7377
lcl|CP014584.1_mrna_269	1131	873.677	3302	60.839
lcl|CP014584.1_mrna_270	609	351.8	1934	88.4947
lcl|CP014584.1_mrna_271	915	657.677	1456	35.6373
lcl|CP014584.1_mrna_272	810	552.697	1148	33.4357
lcl|CP014584.1_mrna_273	2115	1857.68	4129.6	35.7844
lcl|CP014584.1_mrna_274	3435	3177.68	1394.4	7.06372
lcl|CP014584.1_mrna_275	1752	1494.68	1489	16.0363
lcl|CP014584.1_mrna_276	975	717.677	786	17.6299
lcl|CP014584.1_mrna_277	1242	984.677	2978	48.6841
lcl|CP014584.1_mrna_278	1232	974.677	3873	63.9651
lcl|CP014584.1_mrna_279	1032	774.677	865	17.9743
lcl|CP014584.1_mrna_280	636	378.781	212	9.00955
lcl|CP014584.1_mrna_281	564	306.851	704	36.9319
lcl|CP014584.1_mrna_282	2427	2169.68	4410.81	32.725
lcl|CP014584.1_mrna_283	861	603.693	669.187	17.8438
lcl|CP014584.1_mrna_284	1021	763.677	1699	35.8129
lcl|CP014584.1_mrna_285	603	345.803	1441	67.0798
lcl|CP014584.1_mrna_286	1612	1354.68	1055.96	12.5478
lcl|CP014584.1_mrna_287	1164	906.677	423.043	7.51084
lcl|CP014584.1_trna_288	108	26.7988	6.4	3.84433
lcl|CP014584.1_mrna_289	2027	1769.68	118702	1079.74
lcl|CP014584.1_mrna_290	2614	2356.68	4109.02	28.0669
lcl|CP014584.1_mrna_291	3092	2834.68	3734.98	21.21
lcl|CP014584.1_mrna_292	1005	747.677	2772	59.6809
lcl|CP014584.1_mrna_293	600	342.805	1021	47.944
lcl|CP014584.1_mrna_294	2311	2053.68	824.374	6.46172
lcl|CP014584.1_mrna_295	2874	2616.68	819.626	5.04222
lcl|CP014584.1_mrna_296	2043	1785.68	1080	9.73592
lcl|CP014584.1_trna_297	74	28.3247	0	0
lcl|CP014584.1_mrna_298	2624	2366.68	3376.29	22.9645
lcl|CP014584.1_mrna_299	2236	1978.68	19936.7	162.194
lcl|CP014584.1_mrna_300	840	582.693	7902	218.3
lcl|CP014584.1_mrna_301	624	366.791	2256	99.0095
lcl|CP014584.1_mrna_302	696	438.733	2174	79.7655
lcl|CP014584.1_mrna_303	1164	906.677	4213	74.7989
lcl|CP014584.1_mrna_304	4052	3794.68	1691	7.1734
lcl|CP014584.1_mrna_305	1515	1257.68	2244	28.7217
lcl|CP014584.1_mrna_306	1401	1143.68	2841	39.9875
lcl|CP014584.1_mrna_307	366	114.59	590	82.8825
lcl|CP014584.1_mrna_308	1356	1098.68	5221	76.4962
lcl|CP014584.1_mrna_309	2496	2238.68	3243	23.3191
lcl|CP014584.1_mrna_310	1461	1203.68	1307	17.4792
lcl|CP014584.1_mrna_311	1050	792.677	949	19.272
lcl|CP014584.1_mrna_312	1124	866.677	591	10.9771
lcl|CP014584.1_mrna_313	3727	3469.68	5679	26.3475
lcl|CP014584.1_mrna_314	1913	1655.68	37	0.359735
lcl|CP014584.1_mrna_315	1879	1621.68	12146	120.566
lcl|CP014584.1_mrna_316	2723	2465.68	1995	13.0246
lcl|CP014584.1_trna_317	91	31.0641	2.4	1.24368
lcl|CP014584.1_rrna_318	117	25.1609	16.4618	10.532
lcl|CP014584.1_mrna_319	1980	1722.68	240	2.24266
lcl|CP014584.1_mrna_320	1521	1263.68	535	6.81512
lcl|CP014584.1_mrna_321	888	630.682	1539	39.2811
lcl|CP014584.1_mrna_322	1791	1533.68	980	10.286
lcl|CP014584.1_mrna_323	978	720.677	2836	63.3464
lcl|CP014584.1_trna_324	73	27.6094	1	0.583042
lcl|CP014584.1_mrna_325	1949	1691.68	1025	9.75355
lcl|CP014584.1_mrna_326	2472	2214.68	1497.6	10.8853
lcl|CP014584.1_mrna_327	1338	1080.68	2461.4	36.6642
lcl|CP014584.1_mrna_328	753	495.71	249	8.08588
lcl|CP014584.1_mrna_329	1668	1410.68	905.122	10.3285
lcl|CP014584.1_mrna_330	1266	1008.68	2235.88	35.6822
lcl|CP014584.1_mrna_331	2723	2465.68	40	0.261144
lcl|CP014584.1_trna_332	73	27.6094	7	4.08129
lcl|CP014584.1_mrna_333	1146	888.677	2661	48.2011
lcl|CP014584.1_mrna_334	1158	900.677	5292.03	94.5822
lcl|CP014584.1_mrna_335	2175	1917.68	960.966	8.06657
lcl|CP014584.1_mrna_336	987	729.677	690.625	15.2359
lcl|CP014584.1_mrna_337	3640	3382.68	1397.38	6.6498
lcl|CP014584.1_mrna_338	944	686.677	483	11.3227
lcl|CP014584.1_mrna_339	4024	3766.68	7171	30.6463
lcl|CP014584.1_mrna_340	1511	1253.68	994	12.7631
lcl|CP014584.1_mrna_341	2187	1929.68	220	1.83525
lcl|CP014584.1_mrna_342	2562	2304.68	0	0
lcl|CP014584.1_mrna_343	1860	1602.68	738	7.41253
lcl|CP014584.1_mrna_344	828	570.697	519	14.6392
lcl|CP014584.1_mrna_345	4365	4107.68	5886	23.0664
lcl|CP014584.1_mrna_346	1131	873.677	402.224	7.41094
lcl|CP014584.1_mrna_347	1599	1341.68	3198.78	38.3788
lcl|CP014584.1_mrna_348	564	306.851	285	14.9511
lcl|CP014584.1_mrna_349	756	498.71	0	0
lcl|CP014584.1_mrna_350	738	480.71	963	32.2477
lcl|CP014584.1_mrna_351	1186	928.677	732	12.6883
lcl|CP014584.1_mrna_352	618	360.791	877	39.1291
lcl|CP014584.1_mrna_353	1301	1043.68	807	12.447
lcl|CP014584.1_mrna_354	2403	2145.68	7835	58.7802
lcl|CP014584.1_mrna_355	2679	2421.68	21497	142.895
lcl|CP014584.1_mrna_356	519	261.956	1193	73.3108
lcl|CP014584.1_mrna_357	2277	2019.68	7064	56.3021
lcl|CP014584.1_mrna_358	914	656.677	554	13.5804
lcl|CP014584.1_mrna_359	1709	1451.68	4972	55.1337
lcl|CP014584.1_mrna_360	3854	3596.68	2164	9.68527
lcl|CP014584.1_mrna_361	1081	823.677	665.848	13.0129
lcl|CP014584.1_mrna_362	3918	3660.68	1283.15	5.64252
lcl|CP014584.1_mrna_363	3553	3295.68	3391	16.563
lcl|CP014584.1_mrna_364	1296	1038.68	9345	144.829
lcl|CP014584.1_mrna_365	528	270.927	24	1.42598
lcl|CP014584.1_mrna_366	931	673.677	5289	126.38
lcl|CP014584.1_mrna_367	1468	1210.68	2027	26.9514
lcl|CP014584.1_mrna_368	2307	2049.68	711	5.58393
lcl|CP014584.1_mrna_369	1024	766.677	48	1.00782
lcl|CP014584.1_mrna_370	1337	1079.68	969	14.4473
lcl|CP014584.1_mrna_371	2650	2392.68	5024	33.8004
lcl|CP014584.1_mrna_372	786	528.702	0	0
lcl|CP014584.1_mrna_373	627	369.791	0	0
lcl|CP014584.1_mrna_374	1530	1272.68	2175	27.5104
lcl|CP014584.1_mrna_375	1156	898.677	2254.14	40.3769
lcl|CP014584.1_mrna_376	731	473.714	3372.86	114.614
lcl|CP014584.1_mrna_377	1410	1152.68	1299	18.1408
lcl|CP014584.1_mrna_378	750	492.71	4483	146.465
lcl|CP014584.1_mrna_379	861	603.693	34898	930.552
lcl|CP014584.1_mrna_380	429	173.024	349	32.4694
lcl|CP014584.1_mrna_381	2243	1985.68	1496	12.1277
lcl|CP014584.1_mrna_382	1791	1533.68	1789	18.7773
lcl|CP014584.1_mrna_383	2164	1906.68	136942	1156.15
lcl|CP014584.1_mrna_384	1641	1383.68	1652	19.219
lcl|CP014584.1_mrna_385	947	689.677	249.764	5.82963
lcl|CP014584.1_mrna_386	4274	4016.68	13862.2	55.5549
lcl|CP014584.1_mrna_387	330	85.7942	444	83.3069
lcl|CP014584.1_mrna_388	840	582.693	302	8.34302
lcl|CP014584.1_mrna_389	3054	2796.68	2203	12.6803
lcl|CP014584.1_mrna_390	1716	1458.68	17582	194.028
lcl|CP014584.1_mrna_391	909	651.677	13571	335.224
lcl|CP014584.1_mrna_392	2580	2322.68	154	1.0673
lcl|CP014584.1_trna_393	72	26.8895	21	12.5717
lcl|CP014584.1_mrna_394	1708	1450.68	1898	21.0611
lcl|CP014584.1_mrna_395	372	119.852	1018	136.729
lcl|CP014584.1_mrna_396	1962	1704.68	17574	165.953
lcl|CP014584.1_mrna_397	1451	1193.68	2239	30.1942
lcl|CP014584.1_mrna_398	1230	972.677	0	0
lcl|CP014584.1_mrna_399	1200	942.677	612	10.4507
lcl|CP014584.1_mrna_400	1167	909.677	1725	30.5252
lcl|CP014584.1_mrna_401	1158	900.677	725	12.9576
lcl|CP014584.1_mrna_402	792	534.702	2102	63.2815
lcl|CP014584.1_mrna_403	1710	1452.68	2019	22.373
lcl|CP014584.1_mrna_404	1499	1241.68	0	0
lcl|CP014584.1_mrna_405	1139	881.677	4060	74.1263
lcl|CP014584.1_mrna_406	1242	984.677	1639	26.7942
lcl|CP014584.1_mrna_407	609	351.8	2944	134.71
lcl|CP014584.1_mrna_408	528	270.927	894	53.1179
lcl|CP014584.1_mrna_409	1119	861.677	6612	123.522
lcl|CP014584.1_mrna_410	453	196.49	0	0
lcl|CP014584.1_mrna_411	1467	1209.68	1030	13.7064
lcl|CP014584.1_mrna_412	4313	4055.68	1397	5.54484
lcl|CP014584.1_mrna_413	1941	1683.68	3643	34.8302
lcl|CP014584.1_mrna_414	1038	780.677	3422	70.561
lcl|CP014584.1_mrna_415	1905	1647.68	7151	69.8636
lcl|CP014584.1_mrna_416	1879	1621.68	4572	45.3835
lcl|CP014584.1_mrna_417	2989	2731.68	975	5.74555
lcl|CP014584.1_mrna_418	2205	1947.68	293	2.42162
lcl|CP014584.1_mrna_419	1173	915.677	583	10.249
lcl|CP014584.1_mrna_420	1266	1008.68	1084	17.2995
lcl|CP014584.1_mrna_421	1983	1725.68	9306	86.808
lcl|CP014584.1_mrna_422	1470	1212.68	884	11.7345
lcl|CP014584.1_mrna_423	1337	1079.68	17169	255.981
lcl|CP014584.1_mrna_424	1143	885.677	1102	20.0291
lcl|CP014584.1_mrna_425	2068	1810.68	1538.25	13.6754
lcl|CP014584.1_mrna_426	2642	2384.68	6228.75	42.0463
lcl|CP014584.1_mrna_427	840	582.693	1847	51.025
lcl|CP014584.1_mrna_428	1322	1064.68	319	4.82313
lcl|CP014584.1_mrna_429	882	624.688	4114	106.013
lcl|CP014584.1_mrna_430	3036	2778.68	3733	21.626
lcl|CP014584.1_mrna_431	2090	1832.68	7594	66.7023
lcl|CP014584.1_mrna_432	3144	2886.68	3471.28	19.3574
lcl|CP014584.1_mrna_433	1556	1298.68	5720.72	70.9097
lcl|CP014584.1_mrna_434	749	491.71	3454	113.076
